timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-60.528240000000025,140,0.0,216,82,14,424,980,0
1,-19.943280000000005,297,0.0,679,152,10,394,944,22
2,-11.31724,513,0.0,3761,408,7,394,691,83
3,-34.0834,89,0.0,2934,532,7,394,566,55
4,-46.35028000000002,115,0.0,3641,545,18,394,542,72
5,-40.38599999999998,251,0.0,5773,564,27,394,515,102
6,-40.01611999999999,152,0.0,3193,393,17,409,681,66
7,-67.89628000000002,72,0.0,1071,303,18,409,770,29
8,-129.44948000000028,11,0.0,159,291,24,409,776,4
9,-73.49800000000006,105,0.0,823,308,14,424,754,13
10,-43.515719999999995,192,0.0,4756,646,25,424,405,92
11,-42.119760000000014,22,0.0,3136,763,21,439,277,78
12,-37.99024,21,0.0,3782,878,27,439,156,102
13,-31.79524,100,0.0,7027,713,19,454,314,112
14,-39.922360000000005,94,0.0,3811,495,26,454,525,69
15,-42.54071999999998,118,0.0,1283,442,23,469,566,24
16,-95.24335999999977,9,0.0,178,432,17,484,567,9
17,-56.55152000000001,29,0.0,852,452,19,484,545,42
18,-42.67408000000001,162,0.0,4890,746,19,499,236,66
19,-38.369200000000006,30,0.0,3399,855,17,514,114,68
20,-42.165800000000004,58,0.0,4215,874,15,529,82,84
21,-33.45776,141,0.0,6932,796,18,544,142,134
22,-43.50287999999999,201,0.0,3986,564,23,544,369,74
23,-56.158720000000024,132,0.0,1468,503,25,544,428,25
24,-109.77871999999992,25,0.0,204,491,24,559,426,3
25,-76.98299999999999,83,0.0,752,473,19,574,434,15
26,-40.5694,200,0.0,4585,827,27,574,72,73
27,-43.68247999999999,24,0.0,3171,901,26,550,23,67
28,-33.229279999999996,59,0.0,4136,951,19,526,4,108
29,-30.136920000000003,64,0.0,6566,1085,26,364,25,129
30,-38.1272,67,0.0,4007,873,15,379,233,63
31,-48.86976000000003,101,0.0,1698,764,15,379,342,39
32,-108.93148000000004,1,0.0,337,748,19,379,354,13
33,-90.39935999999994,13,0.0,689,759,22,379,340,28
34,-38.66452000000001,82,0.0,3679,922,26,379,173,55
35,-38.88272000000001,24,0.0,3342,1018,19,394,69,73
36,-34.28496,26,0.0,4417,1003,29,394,74,99
37,-32.662839999999974,93,0.0,6382,954,23,409,113,127
38,-42.30687999999999,13,0.0,3651,884,24,409,183,77
39,-38.78388,53,0.0,2051,740,27,409,324,31
40,-43.45592000000003,25,0.0,757,707,17,424,352,12
41,-116.64619999999978,7,0.0,291,714,17,424,345,8
42,-51.34635999999999,67,0.0,1789,804,17,424,255,43
43,-45.473880000000015,70,0.0,3535,853,18,424,205,67
44,-36.67464,52,0.0,4090,807,19,424,250,93
45,-33.89524,40,0.0,3775,773,22,424,281,90
46,-40.369200000000006,28,0.0,2563,797,23,424,256,52
47,-41.38307999999999,19,0.0,1731,706,23,424,347,24
48,-56.88439999999995,12,0.0,773,711,25,424,340,9
49,-113.97667999999986,9,0.0,248,693,18,439,350,4
50,-64.68916000000007,24,0.0,1245,769,19,439,273,33
51,-41.21932000000001,28,0.0,3354,851,20,439,188,71
52,-37.94564000000002,67,0.0,3982,840,23,439,198,81
53,-33.75443999999999,89,0.0,4208,848,17,454,181,87
54,-52.10660000000003,21,0.0,2454,788,24,469,219,33
55,-124.22734857142859,35,0.0,1009,777,15,499,209,17
