timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-164.77332000000004,156,0.0,216,52,1,469,978,0
1,-104.76747999999998,311,0.0,630,91,12,454,943,7
2,-77.52148000000001,556,0.0,3804,353,13,454,680,82
3,-66.37255999999996,97,0.0,2940,479,25,439,556,55
4,-21.71935999999999,121,0.0,3672,514,16,439,531,78
5,-64.6578,259,0.0,5742,521,24,454,501,102
6,-19.12975999999999,181,0.0,3190,357,14,469,660,69
7,-17.882959999999997,103,0.0,1075,270,17,469,744,20
8,-16.475680000000008,25,0.0,158,273,10,469,748,3
9,-25.43692000000002,197,0.0,893,306,21,469,704,47
10,-77.16127999999999,272,0.0,4686,658,27,469,346,92
11,-81.75896,30,0.0,3128,757,25,499,219,74
12,-67.95156,27,0.0,3790,859,18,529,94,102
13,-66.47324000000002,113,0.0,7085,682,28,544,246,76
14,-59.78916000000001,108,0.0,3751,451,21,574,454,71
15,-49.47808000000002,150,0.0,1287,417,21,574,488,21
16,-18.118200000000005,27,0.0,168,426,12,574,488,4
17,-9.412319999999998,104,0.0,832,452,9,574,465,21
18,-70.04563999999999,266,0.0,4918,769,17,589,125,66
19,-86.10691999999997,37,0.0,3367,872,15,603,10,65
20,-98.05147999999996,79,0.0,4268,867,19,605,9,96
21,-81.00324,160,0.0,6921,781,18,615,86,128
22,-72.08008000000004,274,0.0,3967,539,24,645,291,72
23,-66.71444000000001,191,0.0,1478,482,16,660,342,20
24,-28.48260000000001,38,0.0,206,483,18,660,339,4
25,-15.231520000000016,201,0.0,773,490,20,660,330,27
26,-96.09440000000001,302,0.0,4539,839,21,638,2,77
27,-87.16803999999998,43,0.0,3158,916,19,550,15,68
28,-66.71760000000002,89,0.0,4200,948,16,536,0,110
29,-53.29528,83,0.0,6663,1058,15,404,23,75
30,-54.25151999999997,79,0.0,3854,841,27,404,228,68
31,-43.34695999999999,117,0.0,1725,721,26,419,334,39
32,-57.020480000000035,11,0.0,344,690,16,449,345,15
33,-59.92080000000005,24,0.0,658,685,21,464,330,10
34,-55.67671999999999,108,0.0,3723,824,21,494,161,59
35,-99.07608,47,0.0,3322,899,25,524,52,72
36,-72.07788,70,0.0,4495,878,17,554,51,113
37,-55.58480000000001,163,0.0,6341,840,16,584,60,109
38,-47.306360000000005,28,0.0,3614,751,21,599,129,77
39,-71.16199999999995,76,0.0,2048,584,18,629,269,38
40,-48.70403999999998,42,0.0,760,524,22,659,295,17
41,-82.5215199999999,32,0.0,291,495,15,704,286,7
42,-59.60455999999996,222,0.0,1789,576,28,719,177,42
43,-73.13448,151,0.0,3508,615,26,749,109,73
44,-52.41524000000001,109,0.0,4128,559,27,764,150,90
45,-54.829000000000015,111,0.0,3770,528,19,794,158,83
46,-47.617119999999986,53,0.0,2559,536,15,824,125,49
47,-51.496759999999995,44,0.0,1728,435,14,839,212,27
48,-50.68911999999998,33,0.0,774,442,17,839,202,9
49,-74.83331999999997,13,0.0,248,439,10,839,212,4
50,-46.65583999999998,73,0.0,1233,503,23,839,135,29
51,-128.90488000000002,121,0.0,3379,575,24,869,32,72
52,-100.23171999999997,124,0.0,3969,547,27,895,31,79
53,-70.31624000000001,130,0.0,4231,547,25,908,20,72
54,-119.71971999999998,39,0.0,2424,487,24,938,51,42
55,-203.44676000000004,72,0.0,1015,498,13,953,36,21
