timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-54.12355999999998,168,0.0,225,127,13,379,981,2
1,-75.32148000000002,274,0.0,642,207,13,349,931,21
2,-7.069199999999999,471,0.0,3745,464,8,349,679,62
3,-54.6212,37,0.0,2907,539,19,364,578,62
4,-49.15259999999997,46,0.0,3752,505,18,394,583,110
5,-13.098440000000004,282,0.0,5646,493,30,394,583,93
6,-29.618999999999996,305,0.0,3195,370,23,409,698,46
7,-26.961120000000005,149,0.0,1058,282,24,424,770,13
8,-42.06108,31,0.0,154,281,9,439,771,0
9,-16.635599999999993,226,0.0,821,305,8,439,748,9
10,-46.63907999999999,425,0.0,4823,647,27,439,387,90
11,-83.1136,51,0.0,3172,748,20,484,248,69
12,-86.79960000000003,90,0.0,3757,762,25,529,184,81
13,-57.93696000000001,290,0.0,7134,595,20,574,311,112
14,-41.370920000000005,195,0.0,3796,373,23,604,500,42
15,-23.6562,170,0.0,1258,344,28,619,509,17
16,-74.62103999999997,14,0.0,163,354,5,634,507,10
17,-72.04011999999999,130,0.0,841,370,22,634,473,21
18,-65.31311999999998,364,0.0,5065,707,27,664,102,52
19,-72.79915999999999,26,0.0,3309,792,16,684,8,74
20,-88.61632000000002,43,0.0,4292,774,29,679,18,95
21,-41.974000000000004,156,0.0,6922,729,29,669,73,116
22,-81.53927999999999,144,0.0,3897,539,24,714,223,62
23,-57.28856,78,0.0,1507,470,5,744,281,32
24,-33.70904000000001,18,0.0,204,476,16,729,279,11
25,-40.98207999999999,64,0.0,794,496,19,729,256,48
26,-49.61351999999997,171,0.0,4517,748,25,721,6,97
27,-59.241199999999985,54,0.0,3154,860,25,605,10,62
28,-48.422560000000004,176,0.0,4069,950,27,522,0,89
29,-30.555720000000004,146,0.0,6613,1041,16,438,5,115
30,-39.17872,130,0.0,4010,833,26,453,188,67
31,-58.601600000000026,86,0.0,1709,693,25,483,299,38
32,-215.7678800000001,35,0.0,338,674,28,498,300,7
33,-81.71044000000013,44,0.0,669,650,26,528,296,12
34,-43.57143999999999,101,0.0,3743,806,28,543,123,57
35,-38.55136000000001,78,0.0,3387,905,16,573,6,65
36,-33.77384000000001,57,0.0,4367,979,17,498,6,104
37,-31.146560000000008,60,0.0,6262,990,22,462,26,123
38,-40.555240000000026,22,0.0,3670,893,24,477,106,78
39,-44.68836,33,0.0,2063,744,15,507,234,24
40,-72.97108,38,0.0,747,697,25,522,256,9
41,-130.62008000000012,23,0.0,305,667,20,552,261,5
42,-67.34848,174,0.0,1780,745,18,582,155,39
43,-43.42972,98,0.0,3586,712,16,597,175,74
44,-38.88703999999996,52,0.0,4044,673,20,612,195,76
45,-42.625080000000004,58,0.0,3749,644,20,627,209,83
46,-43.545400000000015,30,0.0,2554,663,26,642,169,49
47,-43.55247999999999,65,0.0,1706,588,21,672,219,35
48,-81.62612000000007,32,0.0,757,573,15,702,210,12
49,-222.31184000000002,42,0.0,250,538,27,717,218,4
50,-57.88495999999997,111,0.0,1282,565,19,747,169,30
51,-48.92812000000003,140,0.0,3357,616,27,762,95,75
52,-39.50739999999998,166,0.0,3996,626,17,792,65,76
53,-40.56355999999998,163,0.0,4095,649,29,792,30,74
54,-52.50440000000001,65,0.0,2449,601,22,807,70,47
55,-186.8458114285715,89,0.0,1084,531,24,822,123,17
