timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-119.84936000000005,172,0.0,223,71,9,439,981,1
1,-23.228560000000005,314,0.0,654,139,12,424,925,27
2,-23.688160000000007,494,0.0,3708,388,21,424,667,74
3,-6.884240000000002,51,0.0,2946,500,20,424,556,68
4,-5.260760000000001,74,0.0,3634,493,21,424,562,81
5,-18.54648,276,0.0,5761,485,20,439,556,80
6,-28.914480000000005,297,0.0,3186,353,22,454,671,46
7,-15.038960000000008,182,0.0,1058,281,19,469,731,20
8,-71.78627999999999,56,0.0,154,293,7,469,731,0
9,-12.869280000000007,230,0.0,821,310,7,469,714,11
10,-34.148399999999995,411,0.0,4843,653,26,469,352,88
11,-57.98056,51,0.0,3142,760,28,499,213,67
12,-47.051959999999994,22,0.0,3869,771,20,544,165,110
13,-49.49216000000002,230,0.0,7042,597,28,559,316,102
14,-42.44099999999998,152,0.0,3774,370,18,589,523,60
15,-30.440599999999996,175,0.0,1267,353,29,589,529,19
16,-26.52271999999999,11,0.0,166,347,21,604,528,6
17,-25.263960000000008,122,0.0,878,361,28,619,492,43
18,-36.181279999999994,309,0.0,5028,690,19,649,142,52
19,-61.85928,26,0.0,3309,793,19,679,9,73
20,-63.440839999999994,51,0.0,4349,777,22,675,25,111
21,-33.784639999999996,118,0.0,6900,732,15,667,86,84
22,-41.7114,111,0.0,3862,553,25,682,240,63
23,-54.13796000000001,64,0.0,1507,472,11,712,305,38
24,-41.98576,20,0.0,199,457,30,712,301,6
25,-22.27996,86,0.0,740,462,14,742,282,16
26,-49.45912,171,0.0,4576,737,16,741,6,96
27,-51.17100000000001,45,0.0,3204,856,29,598,17,68
28,-29.16159999999999,64,0.0,4052,951,24,523,2,101
29,-24.478279999999998,72,0.0,6619,1028,19,443,10,119
30,-34.5484,112,0.0,3971,836,19,458,187,67
31,-32.26472000000001,67,0.0,1709,699,23,473,305,41
32,-44.603600000000014,18,0.0,342,690,29,473,308,10
33,-37.53096000000001,32,0.0,675,680,25,488,307,21
34,-32.254039999999996,53,0.0,3747,841,17,503,138,56
35,-26.165840000000006,71,0.0,3386,940,22,503,35,59
36,-27.027360000000016,56,0.0,4417,1018,17,453,12,119
37,-27.545359999999995,60,0.0,6199,1051,19,404,26,123
38,-32.071520000000014,23,0.0,3667,968,23,404,105,83
39,-32.931200000000004,31,0.0,2040,838,29,404,229,36
40,-38.29124,42,0.0,773,808,18,419,255,8
41,-51.23443999999994,13,0.0,305,794,27,419,260,5
42,-28.304440000000003,115,0.0,1794,887,15,434,164,46
43,-25.04216,76,0.0,3558,864,22,434,180,75
44,-23.92284,47,0.0,4068,826,18,449,207,73
45,-29.621839999999988,80,0.0,3734,816,25,449,210,85
46,-33.56772,46,0.0,2566,859,27,449,165,42
47,-32.63152000000001,63,0.0,1705,807,15,464,214,29
48,-39.671079999999975,26,0.0,751,810,19,464,207,16
49,-64.25240000000004,22,0.0,254,793,27,464,216,7
50,-23.06779999999999,55,0.0,1278,831,17,479,173,41
51,-21.246959999999987,96,0.0,3398,889,22,479,110,87
52,-19.29504,128,0.0,3935,904,16,494,86,83
53,-30.097680000000015,142,0.0,4128,935,18,494,53,77
54,-36.90527999999999,76,0.0,2446,887,24,494,95,29
55,-146.05181142857145,86,0.0,1072,833,25,494,148,19
