timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,0.9248399999999989,142,0.0,222,173,13,334,980,3
1,-9.153520000000004,289,0.0,624,289,8,259,944,7
2,-33.73288,532,0.0,3804,553,16,244,687,82
3,-40.113559999999985,94,0.0,2951,630,19,289,562,56
4,-42.62427999999998,122,0.0,3661,622,23,319,536,78
5,-28.06144000000001,273,0.0,5742,640,23,334,503,100
6,-62.020520000000005,214,0.0,3190,470,23,349,658,67
7,-159.40960000000015,139,0.0,1074,375,26,364,735,24
8,-255.43051999999958,20,0.0,159,361,19,379,741,4
9,-124.02724,180,0.0,823,366,18,409,707,12
10,-85.88127999999999,318,0.0,4775,704,22,439,335,91
11,-39.07932,26,0.0,3109,791,19,484,206,73
12,-33.35360000000001,23,0.0,3833,893,24,499,84,120
13,-32.79584,133,0.0,6984,721,18,529,232,113
14,-48.28920000000001,161,0.0,3809,509,27,544,420,71
15,-146.0480399999999,194,0.0,1285,458,18,574,450,20
16,-273.6719199999999,20,0.0,162,448,24,574,454,3
17,-82.74443999999998,100,0.0,840,444,21,604,431,23
18,-57.21975999999999,286,0.0,4940,746,29,634,91,69
19,-37.46064,41,0.0,3385,834,23,630,13,66
20,-47.80475999999999,56,0.0,4186,837,18,634,11,78
21,-38.319399999999995,183,0.0,6953,767,26,631,76,134
22,-45.37251999999999,324,0.0,3977,550,29,646,274,70
23,-151.2754,201,0.0,1477,486,19,676,319,24
24,-233.66983999999982,38,0.0,204,477,16,691,316,3
25,-128.5325200000001,150,0.0,762,457,21,706,316,21
26,-68.82740000000003,272,0.0,4537,788,21,691,0,86
27,-63.803,51,0.0,3174,862,21,602,15,68
28,-39.26192,100,0.0,4368,902,15,579,4,131
29,-30.720200000000006,86,0.0,6391,1016,20,435,29,113
30,-38.993919999999996,131,0.0,3975,816,18,450,216,66
31,-91.64808,126,0.0,1707,703,27,450,320,40
32,-130.9354399999999,26,0.0,338,686,24,465,325,10
33,-68.21095999999999,29,0.0,665,695,19,480,306,10
34,-43.63300000000001,135,0.0,3723,850,29,495,126,59
35,-53.436920000000015,50,0.0,3331,923,18,540,19,72
36,-47.315,50,0.0,4423,891,20,570,19,98
37,-32.782639999999994,133,0.0,6360,850,24,564,62,130
38,-42.342200000000005,19,0.0,3656,768,25,579,128,84
39,-53.39051999999999,85,0.0,2049,608,20,609,263,43
40,-159.25607999999997,62,0.0,761,571,18,624,287,17
41,-180.9084400000001,19,0.0,291,566,15,639,280,8
42,-74.40996000000001,120,0.0,1789,653,25,639,183,43
43,-32.81124,102,0.0,3498,699,25,654,122,69
44,-26.21016000000001,82,0.0,4127,651,17,669,163,93
45,-33.39772,79,0.0,3775,617,16,684,183,90
46,-50.43812,40,0.0,2563,630,28,684,158,51
47,-63.50844000000002,27,0.0,1723,528,25,699,248,31
48,-78.21428000000003,50,0.0,782,518,15,729,238,8
49,-231.1243200000001,27,0.0,247,500,26,729,245,4
50,-65.82723999999997,53,0.0,1233,556,17,759,168,30
51,-64.80948000000001,80,0.0,3366,614,28,789,67,71
52,-64.19340000000003,191,0.0,4126,596,15,834,55,89
53,-64.31127999999998,180,0.0,4059,615,17,849,19,94
54,-127.82156,62,0.0,2452,552,27,879,42,39
55,-326.1571942857143,115,0.0,1015,543,25,909,23,22
