timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-254.30547999999996,1007,0.0,1022,42,9,454,995,2
1,-217.55304,3309,0.0,3426,96,11,424,969,20
2,-81.26820000000001,17581,0.0,19223,265,0,424,811,146
3,-97.7684,10329,0.0,12808,336,9,409,746,154
4,-104.8956,16110,0.0,19017,384,1,409,706,185
5,-45.599920000000004,24347,0.0,27400,390,11,394,705,152
6,-97.59440000000001,11698,0.0,13779,406,5,394,695,81
7,-96.7562,3585,0.0,4597,404,14,379,703,41
8,-252.59135999999998,636,0.0,911,433,1,364,702,25
9,-160.38467999999995,3430,0.0,4057,462,4,349,685,32
10,-189.65576,20853,0.0,23513,635,8,349,508,202
11,-256.35532,10333,0.0,13592,663,21,349,467,169
12,-190.26372,14989,0.0,17943,686,17,364,433,150
13,-188.68108,29955,0.0,33022,626,15,379,480,158
14,-231.0008,13839,0.0,16266,588,29,379,504,116
15,-236.6116400000001,4477,0.0,5599,568,26,394,512,50
16,-312.46007999999995,695,0.0,948,564,27,394,515,5
17,-281.08164000000005,3654,0.0,4177,586,16,409,489,25
18,-246.28015999999994,21520,0.0,23862,742,27,409,322,205
19,-202.90492,11358,0.0,14490,775,30,424,271,152
20,-211.01236,16343,0.0,18953,773,25,439,263,120
21,-233.69716000000003,30226,0.0,32947,758,16,454,272,162
22,-279.8988799999999,14826,0.0,17155,731,28,454,287,109
23,-257.45664,5278,0.0,6339,706,25,469,300,47
24,-297.96176,856,0.0,1079,698,30,469,303,9
25,-290.40244,3557,0.0,3959,710,21,484,285,23
26,-230.95644000000001,20715,0.0,22753,847,16,499,138,183
27,-205.42348000000004,11333,0.0,14058,878,17,514,91,149
28,-223.928,17463,0.0,19993,887,16,529,68,144
29,-234.04648000000006,27812,0.0,30450,878,27,529,66,158
30,-216.08892000000006,14798,0.0,17271,863,24,544,69,118
31,-245.61684000000005,6080,0.0,7450,831,19,559,91,60
32,-311.2021199999999,1160,0.0,1512,815,22,559,104,14
33,-291.11508,3062,0.0,3451,832,28,559,81,17
34,-266.89344,16463,0.0,18190,923,17,560,0,126
35,-227.34408,13372,0.0,15757,974,16,509,1,128
36,-210.20144,18651,0.0,21507,1008,29,463,0,172
37,-192.17672,26628,0.0,29943,1014,26,457,3,208
38,-217.73984,13738,0.0,16471,1015,22,462,1,136
39,-241.17684,7617,0.0,9227,977,16,476,31,70
40,-315.82216000000005,2715,0.0,3324,970,19,476,35,21
41,-317.2447600000001,1139,0.0,1396,974,21,476,29,8
42,-290.30612,6928,0.0,7684,991,27,476,6,39
43,-239.9226400000001,15928,0.0,17452,1048,21,431,0,110
44,-202.8754,18062,0.0,20434,1092,22,385,1,154
45,-220.835,16693,0.0,19429,1122,20,357,1,151
46,-205.67636000000005,9483,0.0,11570,1113,18,360,9,109
47,-275.04507999999987,6453,0.0,7778,1098,27,360,15,47
48,-296.1772,2678,0.0,3381,1084,30,360,26,34
49,-306.75607999999994,1120,0.0,1389,1091,17,375,17,14
50,-309.02923999999996,5820,0.0,6505,1109,20,369,2,36
51,-289.9861199999999,15255,0.0,16802,1157,26,314,3,109
52,-259.79472000000004,18264,0.0,20876,1217,17,263,3,192
53,-246.96576000000007,17937,0.0,20929,1248,29,222,1,177
54,-202.50832000000003,9163,0.0,11230,1233,30,229,8,102
55,-11777.50468,3736,0.0,4669,1227,23,244,6,37
