timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,8.245280000000013,147,0.0,216,158,13,349,980,0
1,18.529999999999998,313,0.0,690,275,9,274,942,25
2,-25.75464,526,0.0,3744,547,11,259,683,83
3,-29.979399999999977,107,0.0,2940,629,25,289,556,54
4,-28.176519999999996,149,0.0,3627,623,17,334,526,64
5,-30.572519999999997,312,0.0,5776,629,23,364,484,122
6,-38.5796,190,0.0,3205,462,23,379,636,58
7,-64.61755999999998,113,0.0,1070,356,20,409,715,26
8,-289.45432000000005,25,0.0,159,344,28,409,719,3
9,-77.54707999999998,162,0.0,879,347,15,454,684,43
10,-66.4102,274,0.0,4700,676,16,484,324,92
11,-52.441799999999986,34,0.0,3128,773,19,514,194,73
12,-36.41156,32,0.0,3761,871,17,544,68,93
13,-30.9854,170,0.0,7091,698,29,559,214,91
14,-34.76084,145,0.0,3778,481,26,589,404,66
15,-58.405719999999974,174,0.0,1282,418,19,634,429,21
16,-300.09304,18,0.0,161,400,18,649,433,3
17,-68.99348000000009,76,0.0,840,390,21,679,410,23
18,-38.063159999999996,266,0.0,4940,688,15,724,73,69
19,-48.60296000000004,39,0.0,3359,771,29,685,15,64
20,-54.225480000000005,120,0.0,4369,779,15,693,13,114
21,-39.48048000000001,231,0.0,6813,714,29,681,76,115
22,-25.790319999999998,269,0.0,3960,471,17,726,285,70
23,-39.93468,197,0.0,1477,392,17,756,335,24
24,-162.42292000000015,36,0.0,204,366,16,786,332,3
25,-120.02567999999992,194,0.0,776,340,22,816,322,26
26,-53.13092,339,0.0,4523,713,20,767,0,85
27,-38.05036,45,0.0,3174,772,21,692,15,68
28,-28.027639999999998,107,0.0,4114,795,25,671,9,84
29,-22.972359999999995,139,0.0,6605,930,22,525,23,127
30,-35.17987999999999,106,0.0,4030,714,24,540,222,58
31,-40.52775999999998,127,0.0,1693,594,27,555,324,38
32,-110.60783999999994,25,0.0,337,559,24,585,332,11
33,-82.82416000000008,21,0.0,675,548,20,615,317,16
34,-32.27072,113,0.0,3693,693,19,645,143,55
35,-41.88856000000003,36,0.0,3351,756,29,675,40,72
36,-42.140640000000005,87,0.0,4442,729,16,720,35,100
37,-25.56456000000001,166,0.0,6341,683,15,734,68,129
38,-37.73956000000002,44,0.0,3656,598,25,749,128,80
39,-33.06568,71,0.0,2057,436,21,779,264,26
40,-60.082799999999985,47,0.0,753,374,27,809,290,13
41,-231.96944000000008,21,0.0,291,368,27,824,281,8
42,-49.91204000000001,138,0.0,1763,455,29,839,177,35
43,-39.707159999999995,133,0.0,3549,487,23,869,121,69
44,-36.2126,172,0.0,4093,447,15,899,139,97
45,-29.087800000000016,161,0.0,3815,411,28,914,147,74
46,-36.55200000000002,56,0.0,2532,432,27,929,112,51
47,-42.340880000000006,82,0.0,1730,320,17,974,189,24
48,-146.46487999999988,68,0.0,774,304,18,1004,174,11
49,-220.06367999999992,35,0.0,248,285,20,1019,176,2
50,-74.64372,74,0.0,1240,331,17,1064,88,33
51,-29.871679999999994,117,0.0,3412,424,19,1053,4,74
52,-23.371600000000004,146,0.0,3954,401,17,1054,28,82
53,-26.004040000000007,171,0.0,4183,425,22,1040,13,84
54,-33.58163999999999,54,0.0,2450,404,13,1040,43,36
55,-167.3214628571429,87,0.0,1012,391,29,1055,25,18
