timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-68.03840000000001,170,0.0,223,144,12,364,980,3
1,-55.99820000000002,254,0.0,625,241,1,319,939,8
2,-11.827319999999999,475,0.0,3737,497,10,304,689,74
3,-92.89027999999999,77,0.0,2934,568,22,334,576,60
4,-116.41096000000002,94,0.0,3689,524,15,379,582,89
5,-58.10752,322,0.0,5743,504,17,409,570,78
6,-9.160879999999993,323,0.0,3160,403,9,409,679,51
7,-35.251400000000004,193,0.0,1058,341,5,409,745,21
8,-110.08671999999999,42,0.0,155,417,4,334,745,0
9,-39.32952,210,0.0,849,465,7,304,724,27
10,-94.30727999999996,402,0.0,4815,786,16,334,364,89
11,-77.16155999999998,50,0.0,3142,877,18,379,226,67
12,-92.59795999999999,19,0.0,4070,870,15,424,191,133
13,-62.144760000000005,254,0.0,6841,709,27,439,325,100
14,-83.70584000000002,248,0.0,3783,493,15,484,508,44
15,-39.796320000000016,214,0.0,1261,490,17,484,509,14
16,-222.97944,8,0.0,163,498,9,484,509,10
17,-62.61212000000002,114,0.0,900,508,18,499,475,50
18,-84.64819999999996,324,0.0,4996,814,22,544,120,52
19,-92.92556,42,0.0,3346,904,27,566,3,79
20,-100.17711999999996,58,0.0,4226,893,17,574,16,87
21,-51.27548,100,0.0,6968,829,19,567,85,109
22,-81.2398,191,0.0,3941,646,16,612,226,31
23,-190.01544,144,0.0,1456,580,17,642,261,30
24,-321.05924000000005,31,0.0,199,577,28,642,253,7
25,-215.74143999999993,92,0.0,740,564,28,672,236,14
26,-68.22307999999998,200,0.0,4583,835,27,633,4,92
27,-55.64615999999999,28,0.0,3154,931,25,537,7,63
28,-50.823839999999976,53,0.0,4062,995,20,484,0,90
29,-43.295880000000004,72,0.0,6644,1060,17,414,9,122
30,-57.06852000000002,165,0.0,3979,857,24,444,175,66
31,-142.71916000000004,136,0.0,1710,732,15,474,279,33
32,-260.3166,44,0.0,337,717,29,474,280,8
33,-133.13624000000004,58,0.0,690,699,29,504,268,26
34,-39.12539999999999,104,0.0,3722,840,24,534,102,56
35,-39.068599999999996,86,0.0,3387,927,24,549,0,65
36,-32.391799999999975,64,0.0,4333,991,24,480,5,101
37,-36.53588000000001,62,0.0,6287,999,28,445,27,126
38,-42.337559999999996,22,0.0,3671,901,16,475,107,86
39,-52.02115999999997,68,0.0,2045,750,18,505,227,35
40,-176.928,92,0.0,773,699,17,535,249,7
41,-314.21891999999997,30,0.0,305,688,25,535,252,4
42,-73.42468000000002,143,0.0,1780,751,18,580,151,39
43,-52.18067999999999,152,0.0,3572,720,30,595,155,72
44,-39.182080000000006,66,0.0,4058,670,18,640,172,76
45,-47.16432,122,0.0,3744,646,16,670,168,85
46,-80.42111999999999,124,0.0,2559,687,25,685,103,49
47,-104.71668000000001,151,0.0,1706,627,24,715,134,33
48,-157.78684,78,0.0,758,614,22,745,119,14
49,-289.07124,43,0.0,249,592,21,760,127,3
50,-95.82768000000017,122,0.0,1391,615,16,805,64,59
51,-59.03840000000001,146,0.0,3263,653,25,795,27,72
52,-76.72239999999998,234,0.0,3971,669,22,792,17,72
53,-55.29800000000001,224,0.0,4109,703,15,773,9,75
54,-62.06344,118,0.0,2475,646,15,803,36,25
55,-285.5786228571429,143,0.0,1052,568,28,818,86,17
