timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-146.34308000000019,143,0.0,216,102,11,409,978,0
1,-144.85196000000002,257,0.0,630,244,3,304,949,7
2,-57.86656000000001,507,0.0,3810,527,16,259,698,82
3,-150.4032800000001,98,0.0,2934,621,29,274,575,55
4,-171.82580000000013,136,0.0,3641,635,19,304,541,73
5,-118.84400000000005,237,0.0,5762,634,16,334,516,122
6,-96.30544000000006,162,0.0,3205,461,10,349,680,56
7,-35.33036,80,0.0,1070,392,8,334,766,28
8,-176.86455999999998,14,0.0,159,464,5,259,772,4
9,-190.47292000000002,119,0.0,823,506,15,229,750,12
10,-223.77651999999998,296,0.0,4756,867,17,244,372,91
11,-124.25448000000004,24,0.0,3128,971,25,259,245,74
12,-138.3685999999999,22,0.0,3761,1069,20,289,122,93
13,-120.33236,116,0.0,7056,896,27,304,273,113
14,-158.29940000000002,104,0.0,3809,661,24,334,481,72
15,-261.91284,135,0.0,1283,612,19,349,520,23
16,-333.47691999999995,8,0.0,164,599,28,349,524,3
17,-294.27691999999996,56,0.0,840,614,21,364,501,23
18,-172.82752000000008,265,0.0,4910,947,18,379,156,69
19,-144.54031999999992,35,0.0,3375,1049,26,394,31,65
20,-131.05656,61,0.0,4206,1060,29,404,7,78
21,-95.24376000000001,131,0.0,6983,976,28,402,94,128
22,-134.88755999999995,207,0.0,3967,728,23,432,316,76
23,-200.69595999999993,157,0.0,1477,656,26,447,371,26
24,-332.00332,25,0.0,204,654,15,462,369,3
25,-304.34519999999986,121,0.0,752,646,22,462,370,14
26,-179.04631999999995,293,0.0,4547,1016,22,462,0,86
27,-140.27152,46,0.0,3174,1097,15,373,15,68
28,-160.7396399999999,102,0.0,4139,1133,20,334,12,101
29,-91.69115999999994,70,0.0,6580,1266,22,188,24,128
30,-92.07607999999993,73,0.0,3998,1031,20,218,231,68
31,-252.72907999999998,110,0.0,1724,908,21,233,338,42
32,-309.35792000000015,5,0.0,338,887,17,248,348,12
33,-317.3738399999999,20,0.0,665,896,27,248,329,10
34,-203.41119999999995,157,0.0,3717,1064,17,278,141,57
35,-192.36207999999996,46,0.0,3337,1153,21,293,33,71
36,-163.32976000000005,58,0.0,4408,1145,22,308,25,98
37,-101.76935999999999,123,0.0,6375,1090,16,323,71,130
38,-156.20244,21,0.0,3652,1002,24,338,136,86
39,-241.6717600000001,65,0.0,2053,845,28,353,274,41
40,-320.81804,40,0.0,761,809,22,368,301,16
41,-335.71108000000004,11,0.0,291,813,26,368,293,8
42,-263.17428000000007,108,0.0,1763,902,25,383,190,34
43,-179.3788,97,0.0,3667,921,15,413,151,73
44,-179.40656000000004,82,0.0,3975,878,17,428,177,96
45,-195.90396000000013,84,0.0,3790,838,21,443,197,83
46,-156.97792,44,0.0,2557,848,24,458,170,50
47,-251.89031999999992,40,0.0,1723,744,23,473,260,31
48,-343.63184000000007,36,0.0,781,755,25,473,247,12
49,-355.34484000000003,13,0.0,248,745,26,473,256,4
50,-235.5421600000001,37,0.0,1233,810,24,488,178,30
51,-227.40196,91,0.0,3351,896,24,503,77,65
52,-152.74620000000013,104,0.0,3997,872,15,533,80,81
53,-198.0471599999999,122,0.0,4203,878,21,548,53,96
54,-248.27511999999996,55,0.0,2452,839,21,563,77,42
55,-377.0287314285714,46,0.0,1014,835,19,578,68,26
