timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,16.342200000000002,166,0.0,216,100,1,424,975,0
1,21.987520000000014,326,0.0,679,181,8,379,932,23
2,11.199640000000002,526,0.0,3788,450,9,364,677,76
3,-25.606719999999992,93,0.0,2924,566,21,364,549,58
4,-39.14116,132,0.0,3647,563,17,394,526,80
5,-28.53436,245,0.0,5758,572,23,409,496,98
6,-38.44079999999998,161,0.0,3182,400,18,424,658,68
7,-41.37556,75,0.0,1075,308,21,424,747,21
8,-66.95691999999998,13,0.0,165,289,20,439,752,8
9,-30.455799999999982,139,0.0,816,305,16,454,725,13
10,-45.452479999999994,277,0.0,4813,660,15,469,356,83
11,-39.958760000000005,26,0.0,3086,779,29,469,223,79
12,-26.28320000000002,21,0.0,3835,872,21,499,108,117
13,-24.816840000000003,107,0.0,6975,707,20,514,259,98
14,-37.72884000000003,101,0.0,3803,489,16,529,466,69
15,-34.65228,125,0.0,1281,433,17,544,506,23
16,-48.61676000000007,9,0.0,164,410,22,559,509,3
17,-28.62332000000001,69,0.0,868,426,22,574,478,42
18,-49.76151999999999,264,0.0,5001,734,15,604,147,64
19,-32.077040000000004,41,0.0,3296,840,21,619,20,67
20,-36.91740000000001,64,0.0,4186,841,19,630,10,78
21,-35.7482,131,0.0,6978,753,22,628,97,113
22,-34.59423999999999,213,0.0,3952,522,18,643,316,77
23,-39.237680000000005,172,0.0,1477,461,26,643,370,23
24,-54.083079999999946,27,0.0,210,458,15,658,369,6
25,-33.37979999999999,138,0.0,770,440,14,673,373,30
26,-56.70876,273,0.0,4523,795,22,683,0,85
27,-53.34024000000002,62,0.0,3198,866,20,592,22,69
28,-32.20272000000001,100,0.0,4078,916,19,553,12,85
29,-22.474079999999997,73,0.0,6635,1039,29,407,25,129
30,-33.5108,84,0.0,4004,826,22,422,230,67
31,-38.177879999999995,106,0.0,1701,715,26,422,337,37
32,-39.703519999999976,3,0.0,340,698,17,437,348,14
33,-33.433400000000006,20,0.0,672,710,21,437,332,16
34,-21.905439999999995,106,0.0,3693,871,19,452,158,55
35,-49.64351999999998,36,0.0,3342,949,18,482,51,73
36,-67.99772,76,0.0,4417,928,17,512,43,97
37,-26.161599999999996,123,0.0,6410,892,28,512,68,115
38,-35.735560000000014,22,0.0,3621,804,28,527,141,84
39,-36.04359999999999,67,0.0,2053,654,23,542,281,31
40,-40.68843999999997,32,0.0,757,618,17,557,308,14
41,-41.58775999999998,13,0.0,297,615,28,557,300,11
42,-27.785720000000005,125,0.0,1783,703,22,572,203,43
43,-36.56696,89,0.0,3508,751,16,587,145,73
44,-23.98407999999999,71,0.0,4140,696,21,587,196,92
45,-39.76344,76,0.0,3775,667,16,602,215,80
46,-37.77512,35,0.0,2540,694,19,602,185,52
47,-38.20568000000001,24,0.0,1723,592,16,617,275,31
48,-43.42939999999999,24,0.0,782,582,20,632,266,8
49,-74.32144000000002,17,0.0,247,537,25,662,276,4
50,-40.37467999999995,65,0.0,1256,591,20,692,197,37
51,-77.97164,124,0.0,3445,684,15,722,79,84
52,-45.791199999999996,141,0.0,3933,657,15,752,76,78
53,-54.0886,126,0.0,4164,662,24,767,47,86
54,-80.76407999999999,63,0.0,2441,609,24,797,70,37
55,-150.8720685714286,61,0.0,1012,594,26,827,53,24
