episode,total_reward,mean_daily_failures,total_failures,total_invalid_actions,epsilon
107,-3099.3711200000002,932.0,6524,1194,0.0
108,-2787.3434685714287,1130.5714285714287,7914,1660,0.0
109,-3397.6305885714282,998.5714285714286,6990,1623,0.0
110,-3459.0133942857146,1099.2857142857142,7695,1895,0.0
111,-4831.552925714285,1058.7142857142858,7411,3284,0.0
112,-2267.4896857142858,908.7142857142857,6361,905,0.0
113,-2846.12204,1077.0,7539,1706,0.0
114,-2179.9077314285714,959.4285714285714,6716,759,0.0
115,-2249.5232742857143,1059.2857142857142,7415,854,0.0
116,-5051.512782857143,1426.857142857143,9988,2202,0.0
117,-3897.8044171428573,1278.142857142857,8947,2532,0.0
118,-4138.566188571429,1345.5714285714287,9419,2800,0.0
119,-4834.005325714285,1410.7142857142858,9875,1970,0.0
120,-4079.655434285714,1278.2857142857142,8948,3014,0.0
121,-3961.240577142857,1343.142857142857,9402,2683,0.0
122,-3828.3093085714286,1341.5714285714287,9391,2543,0.0
123,-3449.743257142857,1446.142857142857,10123,2360,0.0
124,-5762.548125714286,1466.7142857142858,10267,4414,0.0
125,-2925.6050342857143,1575.2857142857142,11027,1529,0.0
126,-5095.538891428571,1510.4285714285713,10573,2316,0.0
127,-6210.352125714286,1306.7142857142858,9147,4788,0.0
128,-2408.148474285714,1167.2857142857142,8171,1097,0.0
129,-4077.9525085714286,1179.5714285714287,8257,2641,0.0
130,-2370.755662857143,1034.857142857143,7244,1086,0.0
131,-2410.1777085714284,1048.5714285714287,7340,1143,0.0
132,-4552.673914285714,1166.2857142857142,8164,1718,0.0
133,-2276.1142685714285,1062.5714285714287,7438,921,0.0
134,-5735.185148571429,1257.5714285714287,8803,4288,0.0
135,-4080.013382857143,1327.857142857143,9295,2567,0.0
136,-2341.117582857143,1086.857142857143,7608,1046,0.0
137,-4364.655931428571,1085.4285714285713,7598,1509,0.0
138,-3717.7445942857144,1210.2857142857142,8472,2164,0.0
139,-2683.090474285714,1244.2857142857142,8710,1515,0.0
