timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-108.26899999999999,177,0.0,223,104,7,409,980,3
1,-75.13528000000001,274,0.0,625,170,19,379,932,8
2,-10.940760000000003,480,0.0,3737,423,20,379,678,74
3,-28.63192,41,0.0,2934,508,27,394,571,62
4,-27.32915999999999,50,0.0,3689,487,18,409,586,94
5,-27.4966,268,0.0,5713,475,20,424,581,85
6,-29.870439999999984,351,0.0,3190,350,17,454,679,50
7,-26.201999999999995,202,0.0,1059,275,14,469,742,11
8,-189.02884,42,0.0,154,324,11,424,741,0
9,-36.039360000000016,198,0.0,821,337,14,424,725,12
10,-45.20700000000001,403,0.0,4823,676,23,439,362,89
11,-70.73104,59,0.0,3162,770,23,484,223,67
12,-64.57744000000002,41,0.0,3838,782,16,529,173,112
13,-56.48664,327,0.0,7038,628,21,559,291,120
14,-37.51268000000001,209,0.0,3809,411,19,589,481,60
15,-20.667479999999998,191,0.0,1267,396,21,604,479,17
16,-212.10296,8,0.0,169,399,18,604,479,11
17,-38.96516000000002,85,0.0,897,404,15,634,447,53
18,-38.82936,286,0.0,4978,713,28,664,95,50
19,-63.17783999999999,38,0.0,3337,797,15,681,7,74
20,-72.23836,106,0.0,4349,780,22,678,19,110
21,-37.56431999999998,193,0.0,6888,741,28,657,74,91
22,-41.27343999999999,132,0.0,3874,546,26,702,226,62
23,-43.37479999999998,75,0.0,1511,450,16,747,287,20
24,-41.338199999999986,18,0.0,195,447,22,747,284,6
25,-23.343599999999995,44,0.0,786,458,16,762,264,40
26,-48.75052000000002,160,0.0,4520,729,22,744,5,103
27,-32.64036000000002,38,0.0,3183,834,22,634,10,59
28,-29.729040000000005,70,0.0,4066,909,26,565,0,94
29,-27.077799999999996,134,0.0,6636,997,28,466,9,117
30,-28.85668000000001,138,0.0,3997,806,15,496,183,44
31,-37.54012,95,0.0,1683,679,25,511,285,41
32,-80.17307999999993,27,0.0,338,648,24,541,287,8
33,-62.58668000000002,33,0.0,679,627,16,571,286,21
34,-40.15600000000001,84,0.0,3733,785,27,571,117,58
35,-33.30032000000002,70,0.0,3400,888,21,586,5,59
36,-29.768840000000008,58,0.0,4320,973,17,505,5,102
37,-29.610400000000013,60,0.0,6296,990,28,456,26,123
38,-36.13324000000001,24,0.0,3662,901,23,471,104,86
39,-36.594919999999995,28,0.0,2045,769,15,486,230,36
40,-51.15015999999997,33,0.0,773,724,19,501,256,9
41,-97.18303999999999,19,0.0,305,695,16,531,258,5
42,-47.98328000000001,106,0.0,1814,786,21,531,162,50
43,-39.94624000000002,73,0.0,3538,759,16,546,179,75
44,-34.31279999999999,57,0.0,4058,727,27,546,200,76
45,-31.793319999999994,64,0.0,3749,705,24,561,210,83
46,-33.58464000000001,34,0.0,2554,734,20,576,170,49
47,-35.455760000000005,51,0.0,1707,663,24,591,222,30
48,-76.36391999999996,24,0.0,756,658,24,606,212,16
49,-88.8116799999999,26,0.0,250,624,19,636,221,5
50,-61.31384000000001,58,0.0,1273,660,18,651,171,41
51,-39.854280000000024,90,0.0,3407,707,15,666,112,86
52,-37.233280000000015,121,0.0,3969,720,25,666,89,84
53,-37.087759999999996,133,0.0,4085,742,27,666,65,75
54,-39.56516,59,0.0,2445,690,20,681,109,47
55,-154.08117714285714,64,0.0,1082,630,26,681,163,21
