timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-44.88703999999999,152,0.0,216,129,0,394,977,0
1,-16.154919999999997,290,0.0,650,225,1,334,940,18
2,-32.661519999999996,551,0.0,3821,502,8,304,686,74
3,-50.62611999999998,92,0.0,2933,597,15,334,554,62
4,-36.60635999999999,120,0.0,3597,596,22,349,533,66
5,-30.154279999999982,246,0.0,5781,611,20,364,505,106
6,-29.20463999999999,210,0.0,3196,447,14,379,660,69
7,-31.163919999999997,116,0.0,1075,360,22,379,739,21
8,-163.82576,19,0.0,158,340,22,394,744,4
9,-72.0654800000001,155,0.0,823,354,22,409,715,12
10,-44.211000000000006,258,0.0,4768,689,19,439,353,93
11,-52.55232000000003,26,0.0,3131,798,27,454,221,78
12,-40.11559999999997,22,0.0,3775,901,29,469,101,102
13,-32.10916,105,0.0,7159,720,16,499,265,70
14,-28.632680000000008,145,0.0,3677,516,17,514,453,70
15,-42.86992,173,0.0,1283,470,19,529,482,19
16,-127.58140000000016,24,0.0,164,455,17,544,484,3
17,-58.89999999999996,75,0.0,840,452,28,559,461,23
18,-43.32528,224,0.0,4910,755,29,589,127,69
19,-47.17967999999997,33,0.0,3407,853,20,611,16,68
20,-47.12424000000001,54,0.0,4174,862,30,601,7,78
21,-33.40280000000001,134,0.0,6973,772,23,615,90,134
22,-28.123680000000004,299,0.0,3986,557,17,630,296,66
23,-46.83696000000001,194,0.0,1469,483,27,645,345,19
24,-157.56399999999988,43,0.0,206,475,24,660,341,4
25,-66.49276000000002,142,0.0,773,447,23,690,340,27
26,-52.26892,263,0.0,4523,788,24,688,0,86
27,-56.771400000000014,42,0.0,3174,870,29,586,15,68
28,-30.229040000000012,82,0.0,4139,887,28,572,12,101
29,-26.913800000000013,78,0.0,6632,1002,25,441,32,110
30,-28.704279999999997,119,0.0,3970,806,22,456,216,67
31,-42.870879999999985,123,0.0,1701,698,27,456,319,36
32,-46.45991999999992,29,0.0,337,678,25,471,326,11
33,-45.01987999999999,23,0.0,675,685,17,486,312,16
34,-26.999560000000006,111,0.0,3721,843,20,501,136,58
35,-38.04863999999999,27,0.0,3336,914,19,531,36,77
36,-43.14332,30,0.0,4395,874,28,561,37,99
37,-35.67787999999998,123,0.0,6399,828,15,589,68,115
38,-29.244159999999994,22,0.0,3628,743,16,604,137,86
39,-32.745560000000005,86,0.0,2054,596,29,604,271,37
40,-65.10495999999999,50,0.0,760,557,29,619,295,17
41,-85.41987999999992,26,0.0,291,546,19,649,286,5
42,-52.23112,122,0.0,1778,643,23,649,185,38
43,-43.369720000000015,90,0.0,3524,692,28,649,131,66
44,-37.430280000000025,70,0.0,4123,638,19,664,179,90
45,-37.4604,84,0.0,3764,603,21,679,197,90
46,-37.02756000000001,42,0.0,2565,619,17,694,170,48
47,-45.93283999999999,27,0.0,1721,518,28,694,260,31
48,-48.20916,25,0.0,781,518,22,709,251,12
49,-120.03535999999994,29,0.0,254,483,16,739,262,5
50,-47.892519999999955,63,0.0,1227,553,28,739,180,30
51,-49.69988000000001,65,0.0,3351,627,19,769,85,65
52,-45.532800000000044,142,0.0,3997,607,16,799,78,78
53,-51.12524,201,0.0,4217,626,18,829,27,85
54,-80.11827999999997,72,0.0,2438,561,29,859,51,40
55,-214.05071428571432,127,0.0,1015,548,19,904,29,20
