timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,13.37212,175,0.0,223,151,5,364,980,1
1,18.885640000000006,333,0.0,644,255,4,319,922,19
2,-29.77907999999999,495,0.0,3745,539,10,289,662,60
3,-82.98736000000004,79,0.0,2907,579,16,349,556,60
4,-75.42996000000001,118,0.0,3646,546,20,379,555,80
5,-77.20683999999997,340,0.0,5756,514,25,424,537,85
6,-11.553520000000002,346,0.0,3186,403,5,454,638,51
7,-9.430759999999994,225,0.0,1063,336,16,454,694,16
8,-17.51564,58,0.0,161,368,0,439,693,4
9,8.411120000000006,278,0.0,842,410,4,424,662,26
10,-87.11188,432,0.0,4795,735,27,439,299,89
11,-72.53023999999998,57,0.0,3162,823,20,499,158,67
12,-72.32823999999995,41,0.0,3767,825,21,544,110,79
13,-59.26527999999998,288,0.0,7117,655,18,589,238,113
14,-47.50108000000001,217,0.0,3799,427,26,619,428,60
15,-24.369280000000003,221,0.0,1272,416,14,649,421,15
16,-44.79584000000002,22,0.0,169,408,9,664,419,7
17,-16.195760000000003,160,0.0,823,427,23,664,386,14
18,-69.23643999999999,383,0.0,5067,760,25,709,6,52
19,-91.11359999999998,27,0.0,3331,850,26,619,5,74
20,-117.26952000000001,81,0.0,4241,830,29,629,12,84
21,-45.978479999999976,171,0.0,7022,766,26,627,81,72
22,-44.60915999999999,146,0.0,3843,586,17,672,225,61
23,-67.62572000000003,78,0.0,1502,487,13,717,283,32
24,-4.339239999999998,35,0.0,201,496,8,717,279,9
25,-39.05448000000001,136,0.0,782,513,26,717,244,38
26,-76.45080000000002,215,0.0,4550,793,20,685,2,90
27,-54.74644,51,0.0,3134,902,16,572,10,62
28,-32.889880000000005,74,0.0,4035,959,28,513,0,78
29,-23.806599999999996,98,0.0,6668,1043,24,424,9,121
30,-26.282359999999997,124,0.0,3989,836,26,454,184,68
31,-31.168120000000012,91,0.0,1710,696,29,484,291,34
32,-45.55571999999999,36,0.0,337,654,25,529,292,8
33,-45.945040000000056,105,0.0,721,631,15,574,280,32
34,-26.708240000000004,159,0.0,3713,785,15,604,96,46
35,-34.379999999999995,95,0.0,3365,868,15,617,0,63
36,-21.52136,93,0.0,4367,942,27,525,6,99
37,-22.14952,77,0.0,6278,954,19,502,25,107
38,-28.194279999999996,25,0.0,3651,844,17,532,107,83
39,-29.820200000000003,64,0.0,2043,696,19,562,223,29
40,-34.77200000000001,69,0.0,770,637,23,592,248,8
41,-74.33224000000004,43,0.0,305,585,28,637,250,5
42,-38.39388000000002,213,0.0,1780,667,25,667,141,39
43,-35.63244000000001,143,0.0,3586,621,26,697,156,71
44,-28.020519999999998,80,0.0,4044,587,22,727,164,75
45,-26.151279999999993,105,0.0,3749,557,23,757,163,82
46,-30.200200000000006,70,0.0,2565,588,15,787,110,44
47,-33.26032,103,0.0,1699,516,28,802,154,28
48,-41.598919999999985,63,0.0,758,499,15,847,139,6
49,-51.51112,42,0.0,249,455,23,877,145,6
50,-32.39043999999999,151,0.0,1269,482,18,907,93,35
51,-40.87924,151,0.0,3366,529,17,929,25,75
52,-31.88159999999999,198,0.0,3986,540,24,921,15,73
53,-25.490719999999992,254,0.0,4118,581,18,895,6,75
54,-33.92779999999998,114,0.0,2440,519,17,925,39,45
55,-183.52867428571432,123,0.0,1078,447,24,940,89,16
