timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-157.15088000000003,145,0.0,216,72,10,439,979,0
1,-87.05332000000006,291,0.0,630,139,8,409,944,7
2,-31.459160000000008,540,0.0,3804,389,19,409,683,83
3,-45.82876000000001,96,0.0,2940,511,22,409,557,55
4,-46.00972000000001,133,0.0,3627,521,24,424,531,66
5,-64.84396000000001,270,0.0,5812,521,21,454,504,94
6,-36.08628,169,0.0,3176,358,18,469,655,53
7,-42.5714,76,0.0,1063,272,16,469,743,29
8,-59.69711999999995,13,0.0,171,261,20,469,750,11
9,-40.583000000000006,120,0.0,867,277,17,484,722,43
10,-52.2248,228,0.0,4712,609,16,499,376,93
11,-66.78632000000002,24,0.0,3116,693,29,529,249,74
12,-52.128080000000004,20,0.0,3813,791,24,559,126,114
13,-49.47744000000001,131,0.0,7004,620,21,589,270,113
14,-42.98107999999998,124,0.0,3809,411,14,604,471,72
15,-37.078920000000004,137,0.0,1283,367,24,604,505,22
16,-48.63496,8,0.0,164,348,24,619,509,3
17,-39.18059999999999,64,0.0,885,376,16,634,474,52
18,-49.30599999999999,280,0.0,4904,681,16,664,139,64
19,-76.09204000000003,35,0.0,3350,772,20,693,15,64
20,-63.52163999999999,70,0.0,4192,777,22,696,5,78
21,-57.29392,172,0.0,6973,693,15,705,87,134
22,-38.34675999999999,245,0.0,3977,450,19,720,310,74
23,-33.887679999999996,165,0.0,1480,396,20,720,364,18
24,-65.35072000000008,28,0.0,201,391,26,720,363,3
25,-63.08967999999998,131,0.0,752,383,18,735,364,15
26,-69.46264000000001,251,0.0,4555,733,25,742,0,81
27,-70.57648,45,0.0,3166,803,29,653,15,68
28,-74.99716,170,0.0,4156,837,27,628,8,104
29,-52.59896000000002,121,0.0,6563,969,24,485,22,127
30,-42.968960000000024,109,0.0,3998,752,27,500,221,68
31,-59.54407999999997,121,0.0,1724,633,23,515,329,41
32,-100.56855999999998,14,0.0,338,596,18,545,341,10
33,-78.18472000000006,22,0.0,675,598,17,560,325,16
34,-55.14596000000001,119,0.0,3713,747,15,590,148,59
35,-67.36312000000002,27,0.0,3322,813,24,620,43,73
36,-67.66924000000004,48,0.0,4432,787,20,650,43,99
37,-53.22364,132,0.0,6360,734,15,680,71,130
38,-54.61843999999998,54,0.0,3661,649,25,695,131,74
39,-60.26464000000001,83,0.0,2044,488,19,725,268,43
40,-55.66900000000001,47,0.0,761,461,23,725,291,14
41,-61.446,18,0.0,291,459,18,740,283,7
42,-47.85,169,0.0,1789,560,20,740,180,42
43,-59.34724000000001,118,0.0,3498,592,21,770,117,69
44,-43.82663999999999,130,0.0,4118,549,24,785,142,98
45,-51.190279999999994,132,0.0,3795,510,17,815,158,78
46,-54.19143999999999,49,0.0,2564,523,19,830,128,42
47,-29.62540000000002,47,0.0,1724,431,12,845,212,26
48,-59.79868,40,0.0,771,430,26,845,199,7
49,-76.71007999999992,27,0.0,262,442,9,845,204,13
50,-44.20764,65,0.0,1216,505,25,845,125,30
51,-101.56808,132,0.0,3351,577,20,890,13,65
52,-82.34720000000003,149,0.0,4022,557,17,896,30,81
53,-67.7806,121,0.0,4178,539,16,925,20,97
54,-59.98895999999998,37,0.0,2467,475,18,955,52,28
55,-153.29018285714284,50,0.0,1000,490,17,955,38,24
