timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-67.14215999999996,147,0.0,216,79,2,439,980,0
1,-21.05948,309,0.0,679,150,3,409,938,23
2,-18.49316,523,0.0,3799,409,1,409,680,77
3,-25.013319999999993,88,0.0,2896,510,23,409,557,55
4,-29.68544,144,0.0,3740,523,15,439,523,83
5,-42.771520000000024,267,0.0,5668,528,24,454,494,108
6,-33.87307999999999,181,0.0,3199,344,22,484,650,65
7,-69.1676,112,0.0,1071,242,29,499,730,26
8,-305.32912000000005,29,0.0,159,236,17,514,733,3
9,-79.43332000000008,138,0.0,823,237,29,529,705,12
10,-38.66604000000001,261,0.0,4756,583,28,544,345,92
11,-40.800120000000035,27,0.0,3250,695,15,589,201,79
12,-32.574639999999995,33,0.0,3711,775,29,604,92,120
13,-34.62316000000001,153,0.0,7019,599,25,634,242,91
14,-32.19336,143,0.0,3790,390,25,649,436,52
15,-41.08700000000001,162,0.0,1267,328,27,679,466,22
16,-244.62380000000002,16,0.0,164,317,20,694,469,3
17,-49.66435999999999,67,0.0,840,315,30,709,446,22
18,-36.202279999999995,248,0.0,4910,627,24,739,110,69
19,-46.13768000000002,35,0.0,3389,717,26,742,15,64
20,-52.242920000000005,92,0.0,4272,724,24,740,12,101
21,-39.50412,211,0.0,6926,650,21,747,82,106
22,-35.434639999999995,257,0.0,3945,430,21,762,287,67
23,-37.00875999999999,174,0.0,1476,353,16,792,339,25
24,-105.73031999999992,30,0.0,204,329,27,807,337,3
25,-105.03912000000003,147,0.0,752,312,18,837,333,14
26,-42.710919999999994,306,0.0,4547,685,19,796,0,86
27,-42.824479999999994,40,0.0,3225,748,23,706,23,69
28,-30.660560000000004,84,0.0,4063,788,25,677,10,86
29,-26.172320000000006,114,0.0,6605,922,19,538,21,127
30,-31.61939999999999,99,0.0,4015,700,24,553,223,65
31,-42.94052,116,0.0,1708,580,25,568,327,38
32,-119.77427999999996,19,0.0,337,530,21,613,336,11
33,-80.89267999999993,22,0.0,675,513,23,643,321,16
34,-31.34152,117,0.0,3707,665,19,673,143,58
35,-35.735559999999985,43,0.0,3328,734,26,703,37,73
36,-59.32140000000002,81,0.0,4451,707,25,733,35,100
37,-34.39512000000002,152,0.0,6341,670,29,732,69,129
38,-36.01224,38,0.0,3658,593,15,762,130,74
39,-41.59615999999997,66,0.0,2055,436,20,777,267,26
40,-49.56456,41,0.0,753,375,26,807,292,13
41,-233.80396000000013,22,0.0,291,373,23,822,282,8
42,-43.421800000000005,129,0.0,1789,454,25,837,184,43
43,-41.05431999999999,119,0.0,3588,490,15,867,128,76
44,-25.820279999999986,158,0.0,4028,465,26,867,142,97
45,-28.766640000000006,137,0.0,3852,437,15,897,151,65
46,-37.497760000000014,49,0.0,2529,451,16,912,121,34
47,-38.72024000000002,58,0.0,1689,357,20,927,196,29
48,-88.83472000000003,49,0.0,781,336,22,957,185,12
49,-192.94791999999995,35,0.0,248,330,26,957,187,2
50,-44.32288,61,0.0,1233,392,18,987,103,30
51,-37.542919999999995,80,0.0,3366,474,13,1002,9,71
52,-26.74139999999999,117,0.0,3991,462,27,983,28,76
53,-25.00932,141,0.0,4194,484,24,979,13,95
54,-27.091399999999993,44,0.0,2452,443,17,994,46,40
55,-154.8687657142857,61,0.0,1016,448,25,994,33,15
