timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-66.91855999999999,168,0.0,223,100,10,409,981,2
1,-38.34476,270,0.0,634,183,3,379,935,14
2,-17.06092,468,0.0,3759,444,13,364,679,58
3,-35.72351999999998,41,0.0,3074,507,15,394,584,69
4,-12.49944,39,0.0,3428,491,15,409,585,71
5,-6.298039999999999,298,0.0,5899,489,17,409,585,53
6,-22.53724,292,0.0,3090,362,16,424,698,53
7,-24.834719999999994,149,0.0,1063,277,13,439,771,20
8,-76.76728000000004,37,0.0,162,281,10,439,770,2
9,-19.458080000000002,221,0.0,813,301,9,439,751,11
10,-47.31967999999999,437,0.0,4926,658,15,454,373,60
11,-69.09184000000002,45,0.0,3094,736,18,499,247,77
12,-95.74124000000003,97,0.0,3732,754,22,544,180,81
13,-57.21584000000001,301,0.0,7244,581,16,589,314,77
14,-32.834439999999994,188,0.0,3678,373,24,604,499,50
15,-24.486199999999997,170,0.0,1263,351,23,619,507,19
16,-104.31932,12,0.0,166,349,13,634,504,10
17,-69.63168,115,0.0,841,375,19,634,471,21
18,-65.21716000000004,353,0.0,5055,704,29,664,103,52
19,-63.87012000000006,28,0.0,3455,785,15,697,3,89
20,-90.42435999999996,43,0.0,4117,761,27,696,16,87
21,-41.41731999999998,166,0.0,6968,710,18,699,73,108
22,-73.84116000000002,157,0.0,3890,508,26,744,222,60
23,-46.927240000000005,82,0.0,1511,444,18,759,279,25
24,-55.86548000000003,20,0.0,204,460,5,759,276,6
25,-29.603999999999992,77,0.0,750,474,23,744,259,22
26,-50.069360000000025,174,0.0,4557,742,19,733,6,97
27,-56.65072000000002,57,0.0,3356,852,15,618,15,72
28,-48.85491999999998,169,0.0,3867,940,24,535,0,89
29,-34.767199999999995,148,0.0,6669,1017,21,450,12,111
30,-38.82736000000001,131,0.0,3944,811,19,480,190,70
31,-67.68284,96,0.0,1719,667,26,510,297,38
32,-238.3491599999999,37,0.0,338,651,27,525,297,7
33,-82.8964399999999,47,0.0,669,629,23,555,293,13
34,-36.01472,109,0.0,3743,779,20,585,116,58
35,-37.058119999999995,79,0.0,3381,868,16,615,1,65
36,-33.88168000000001,61,0.0,4419,934,22,530,13,119
37,-31.419919999999998,60,0.0,6232,952,29,494,25,107
38,-39.34084,21,0.0,3651,858,26,509,107,83
39,-47.03699999999999,34,0.0,2040,711,19,539,231,34
40,-79.19004000000002,52,0.0,773,654,24,569,253,9
41,-182.14271999999997,35,0.0,305,630,17,599,254,5
42,-84.31915999999997,198,0.0,1780,705,20,629,146,38
43,-42.06000000000001,106,0.0,3583,660,18,659,163,77
44,-42.1628,60,0.0,4038,619,29,674,178,78
45,-37.10584,61,0.0,3772,585,21,704,190,69
46,-41.570519999999995,32,0.0,2540,601,30,719,150,49
47,-40.32444,68,0.0,1706,523,29,749,199,35
48,-70.09891999999999,41,0.0,757,501,17,794,188,15
49,-238.1060000000001,48,0.0,250,484,27,794,195,3
50,-73.99103999999993,138,0.0,1282,512,25,824,139,28
51,-45.784080000000024,171,0.0,3398,555,28,854,63,85
52,-44.92156,184,0.0,3969,570,19,884,27,83
53,-39.59459999999999,177,0.0,4081,591,21,879,9,74
54,-48.403280000000024,82,0.0,2463,530,15,909,46,29
55,-194.9298285714286,96,0.0,1068,461,17,924,98,17
