timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-124.43604000000012,158,0.0,223,69,11,439,981,3
1,-102.68416000000012,233,0.0,625,129,5,424,942,8
2,-50.92331999999998,465,0.0,3737,392,9,409,690,75
3,-48.963439999999984,54,0.0,2946,481,16,424,579,69
4,-49.00903999999998,59,0.0,3573,470,16,424,590,62
5,-39.55587999999998,255,0.0,5817,471,7,424,598,86
6,-43.711479999999945,302,0.0,3184,325,23,439,713,61
7,-59.31132000000001,156,0.0,1064,242,26,454,778,20
8,-98.06315999999995,34,0.0,155,230,22,469,779,0
9,-88.32768000000003,162,0.0,821,269,8,454,769,13
10,-73.54200000000003,342,0.0,4823,613,15,454,418,90
11,-89.02452000000007,47,0.0,3225,690,15,514,281,78
12,-116.10475999999996,88,0.0,3704,684,29,559,228,77
13,-97.79283999999997,310,0.0,7109,513,19,619,348,118
14,-26.283679999999997,168,0.0,3807,302,12,634,552,64
15,-50.97883999999993,175,0.0,1269,282,13,649,556,18
16,-111.61095999999999,9,0.0,166,256,26,664,554,9
17,-63.05992000000004,77,0.0,860,266,24,679,531,32
18,-62.13568000000001,313,0.0,5018,598,20,709,173,52
19,-113.68792,33,0.0,3337,681,22,754,43,73
20,-106.06700000000001,140,0.0,4272,663,29,791,16,90
21,-65.33204,254,0.0,6930,636,20,786,58,124
22,-83.14159999999997,190,0.0,3907,462,11,831,196,69
23,-58.66644,66,0.0,1509,409,1,831,259,32
24,-95.40824000000002,17,0.0,203,427,15,801,257,10
25,-81.46035999999988,51,0.0,743,438,18,801,243,17
26,-80.99116000000001,147,0.0,4559,706,25,764,5,103
27,-72.56648000000004,42,0.0,3164,796,26,668,10,62
28,-46.119959999999985,60,0.0,4035,852,23,625,0,78
29,-32.76691999999999,106,0.0,6695,942,29,518,10,118
30,-38.89175999999998,149,0.0,3952,746,24,548,182,70
31,-56.125920000000015,70,0.0,1718,608,18,578,296,44
32,-84.85355999999983,16,0.0,339,580,28,593,299,8
33,-97.41151999999987,44,0.0,669,557,23,623,297,14
34,-50.70776000000001,57,0.0,3743,704,22,638,136,58
35,-43.24832000000002,57,0.0,3381,802,20,653,25,65
36,-31.288799999999974,89,0.0,4373,887,18,589,6,100
37,-28.587400000000006,150,0.0,6262,919,17,538,26,123
38,-39.57712,29,0.0,3662,828,29,538,104,85
39,-41.14404,52,0.0,2048,694,15,568,223,29
40,-58.392479999999985,61,0.0,770,661,29,568,242,8
41,-140.9054000000001,15,0.0,305,625,30,598,247,5
42,-53.17767999999997,154,0.0,1780,703,26,628,143,37
43,-41.42839999999999,144,0.0,3583,677,26,643,154,77
44,-29.305759999999992,115,0.0,4057,667,22,658,153,71
45,-40.72696,152,0.0,3739,660,27,673,140,82
46,-52.64247999999999,66,0.0,2561,701,20,688,91,42
47,-49.93784000000001,83,0.0,1703,637,21,703,139,30
48,-63.40591999999996,24,0.0,754,620,16,733,131,15
49,-110.1741999999999,27,0.0,249,578,18,763,141,4
50,-66.29324000000003,66,0.0,1282,607,22,778,93,42
51,-51.51615999999999,164,0.0,3357,664,26,784,26,74
52,-51.34624,207,0.0,3976,680,27,778,15,81
53,-31.250919999999997,219,0.0,4128,731,18,745,6,77
54,-48.02828000000001,105,0.0,2440,680,21,760,39,45
55,-188.71152571428576,100,0.0,1080,616,20,775,89,17
