timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-126.73499999999996,162,0.0,223,99,11,409,981,3
1,-117.66196000000002,229,0.0,625,202,7,349,942,8
2,-53.322880000000005,438,0.0,3748,474,12,319,695,70
3,-91.99068,60,0.0,2935,548,22,349,581,68
4,-63.88816000000002,80,0.0,3607,505,21,394,580,76
5,-61.064960000000006,264,0.0,5779,481,23,409,587,97
6,-44.897040000000004,305,0.0,3190,341,24,439,696,52
7,-51.4612,156,0.0,1063,233,14,484,769,19
8,-93.38304000000011,32,0.0,154,212,19,499,770,0
9,-80.59316000000004,162,0.0,838,226,19,499,756,25
10,-60.535120000000006,345,0.0,4819,552,27,514,407,90
11,-112.90308000000002,76,0.0,3159,638,26,574,262,68
12,-121.05143999999999,110,0.0,3786,635,29,634,202,92
13,-91.28516000000002,328,0.0,7121,479,16,694,311,97
14,-27.71628,184,0.0,3766,261,20,709,510,64
15,-44.15479999999999,196,0.0,1269,232,17,739,512,18
16,-118.83392,15,0.0,166,213,25,754,508,9
17,-79.91099999999997,111,0.0,829,214,18,784,484,13
18,-57.17211999999999,356,0.0,5049,560,30,799,111,53
19,-128.08924000000002,33,0.0,3349,623,26,846,5,73
20,-126.77264000000001,163,0.0,4241,611,22,857,10,85
21,-69.48691999999998,281,0.0,6968,587,19,844,50,105
22,-52.51847999999999,179,0.0,3890,429,20,859,192,60
23,-62.58787999999996,67,0.0,1507,387,17,844,252,37
24,-89.05876000000002,17,0.0,199,394,13,844,249,7
25,-79.79344000000002,61,0.0,747,406,15,844,235,17
26,-75.27704000000001,170,0.0,4559,673,20,802,5,103
27,-59.090800000000016,51,0.0,3164,765,21,704,10,61
28,-50.435,71,0.0,4026,820,16,664,0,80
29,-37.930640000000004,121,0.0,6687,915,15,562,8,120
30,-43.48703999999999,126,0.0,3979,720,22,577,181,67
31,-46.20144,75,0.0,1709,578,21,607,294,40
32,-83.53448000000003,28,0.0,346,537,15,652,296,12
33,-130.3288000000001,54,0.0,682,524,20,667,289,25
34,-47.923480000000026,75,0.0,3731,668,15,697,120,59
35,-40.789120000000004,61,0.0,3410,754,21,712,13,57
36,-33.7238,115,0.0,4319,835,27,629,9,97
37,-31.25343999999999,161,0.0,6269,862,18,592,27,126
38,-41.676400000000015,39,0.0,3676,765,26,607,102,82
39,-39.95884000000001,67,0.0,2040,638,25,622,215,37
40,-60.746080000000006,68,0.0,773,597,19,652,232,9
41,-163.61936000000003,21,0.0,305,563,19,682,236,5
42,-57.459039999999995,165,0.0,1780,642,28,697,133,38
43,-38.88611999999999,154,0.0,3586,615,15,727,143,73
44,-37.74431999999999,142,0.0,4054,598,24,742,136,70
45,-39.66007999999998,166,0.0,3739,597,24,757,122,80
46,-48.637119999999996,71,0.0,2556,627,28,772,73,41
47,-47.93232,106,0.0,1704,551,18,817,114,34
48,-74.92784000000002,32,0.0,757,531,20,847,102,15
49,-233.07847999999996,32,0.0,250,498,29,862,111,4
50,-78.38288000000001,89,0.0,1273,516,17,907,60,35
51,-58.80863999999998,211,0.0,3381,564,20,889,27,76
52,-44.70719999999999,236,0.0,3971,577,28,878,17,71
53,-35.42935999999999,283,0.0,4109,629,19,843,9,74
54,-52.653839999999974,125,0.0,2445,576,16,873,35,47
55,-206.17685714285716,113,0.0,1084,499,17,903,81,13
