timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-203.81103999999996,143,0.0,216,65,3,454,978,0
1,-106.63507999999999,292,0.0,650,136,3,424,937,19
2,-32.183159999999994,534,0.0,3784,388,6,424,682,82
3,-36.63196,86,0.0,2951,494,24,424,558,56
4,-24.999440000000007,110,0.0,3616,510,15,439,536,67
5,-48.91355999999999,255,0.0,5776,517,23,454,506,121
6,-39.00667999999998,207,0.0,3213,359,14,469,658,45
7,-71.13535999999999,119,0.0,1063,285,7,469,739,14
8,-169.25292000000002,19,0.0,158,290,12,454,744,4
9,-52.68368,148,0.0,823,316,14,454,716,12
10,-38.31324000000001,274,0.0,4842,661,16,469,354,56
11,-60.86507999999997,23,0.0,3057,755,20,499,226,79
12,-54.37027999999999,22,0.0,3775,851,29,514,106,102
13,-54.02584000000001,125,0.0,7027,678,22,544,256,113
14,-52.973119999999994,163,0.0,3826,465,14,574,447,48
15,-49.89932,165,0.0,1268,448,16,559,477,21
16,-163.18068,15,0.0,162,466,9,544,481,3
17,-49.540040000000005,73,0.0,885,504,3,544,449,51
18,-73.53676,240,0.0,4865,794,27,559,120,69
19,-64.26276,35,0.0,3375,895,22,572,11,64
20,-68.17944,60,0.0,4247,899,16,575,10,84
21,-50.160600000000024,158,0.0,6932,826,17,573,84,134
22,-57.89299999999998,298,0.0,3977,598,24,588,289,70
23,-177.92935999999995,196,0.0,1477,527,30,603,340,24
24,-258.01700000000005,34,0.0,204,518,27,618,337,3
25,-117.76824000000008,133,0.0,752,503,26,633,338,15
26,-75.67988,257,0.0,4547,836,18,646,0,86
27,-80.03920000000004,47,0.0,3174,906,22,557,15,68
28,-52.75088000000002,91,0.0,4102,930,17,541,12,85
29,-45.36391999999999,90,0.0,6657,1049,29,393,29,113
30,-46.21552,131,0.0,3975,840,18,423,219,66
31,-109.9352800000001,123,0.0,1707,731,22,423,324,41
32,-139.48975999999988,22,0.0,341,708,23,438,331,13
33,-85.43884000000007,28,0.0,662,716,19,453,312,10
34,-55.342720000000014,126,0.0,3703,870,28,468,134,55
35,-79.82408000000004,50,0.0,3342,941,23,513,23,73
36,-56.69188,47,0.0,4417,911,20,543,26,98
37,-41.82300000000001,145,0.0,6399,855,25,560,60,115
38,-56.41659999999999,22,0.0,3628,769,16,590,125,86
39,-86.8442,106,0.0,2053,606,20,620,254,43
40,-182.88215999999997,67,0.0,761,568,22,635,275,16
41,-258.8824799999999,22,0.0,291,563,20,650,267,8
42,-69.85595999999998,123,0.0,1763,643,15,680,162,35
43,-48.99860000000003,117,0.0,3539,680,19,695,106,66
44,-36.64300000000001,87,0.0,4103,630,16,710,144,98
45,-47.4958,98,0.0,3790,588,22,725,164,83
46,-42.80072000000001,52,0.0,2564,607,20,740,133,44
47,-69.35284000000004,30,0.0,1716,500,21,755,224,31
48,-83.74035999999998,56,0.0,781,502,14,770,214,12
49,-163.45048000000006,30,0.0,261,502,9,770,219,11
50,-89.48555999999998,53,0.0,1220,549,24,785,142,30
51,-72.77807999999996,90,0.0,3351,610,15,830,45,65
52,-117.16688000000003,188,0.0,4034,597,15,860,28,78
53,-96.29052000000003,187,0.0,4171,611,26,844,19,82
54,-104.19828000000005,75,0.0,2447,549,23,889,39,40
55,-322.8121885714285,111,0.0,1014,540,20,919,21,24
