timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-92.82432000000007,145,0.0,216,72,9,439,980,0
1,-38.31875999999999,298,0.0,690,123,8,424,945,26
2,-18.182599999999997,510,0.0,3761,384,3,424,689,82
3,-31.18104,89,0.0,2953,503,12,424,561,62
4,-30.440720000000002,116,0.0,3597,512,25,424,539,65
5,-43.07836000000001,260,0.0,5776,527,27,439,507,122
6,-39.44376,156,0.0,3201,355,18,454,673,69
7,-68.71979999999994,78,0.0,1074,258,28,454,760,27
8,-207.4250000000001,14,0.0,159,248,18,469,765,3
9,-83.01192000000007,114,0.0,823,263,27,469,741,13
10,-40.166920000000005,206,0.0,4793,612,28,469,391,86
11,-40.43904,20,0.0,3091,724,28,484,264,74
12,-40.09624,21,0.0,3833,833,26,499,142,120
13,-27.7584,115,0.0,6992,665,23,514,298,94
14,-36.25764,108,0.0,3801,446,24,529,501,72
15,-26.328040000000005,126,0.0,1283,398,17,544,541,22
16,-133.91815999999983,13,0.0,164,381,16,559,544,3
17,-54.06908,39,0.0,840,385,29,559,527,23
18,-44.68676,195,0.0,4928,697,26,574,203,65
19,-45.86456000000001,30,0.0,3371,808,24,589,79,64
20,-34.50631999999999,60,0.0,4233,830,19,604,47,84
21,-31.281439999999996,143,0.0,6965,748,18,619,115,106
22,-39.64499999999999,218,0.0,3944,516,16,634,333,78
23,-44.367,146,0.0,1478,443,19,649,389,21
24,-92.69807999999973,25,0.0,203,422,26,664,388,3
25,-69.03392000000007,93,0.0,752,402,24,679,395,15
26,-39.68812,241,0.0,4658,775,15,694,16,75
27,-48.690599999999996,24,0.0,3063,855,27,603,15,68
28,-30.31304000000001,65,0.0,4102,892,20,576,12,85
29,-35.31728,71,0.0,6617,1039,25,412,24,127
30,-37.90843999999999,67,0.0,4010,826,16,427,231,73
31,-46.59607999999998,110,0.0,1713,711,24,427,338,37
32,-107.03764000000005,3,0.0,337,689,19,442,350,11
33,-84.90588,14,0.0,675,691,15,457,337,16
34,-41.59144000000001,93,0.0,3693,854,21,457,168,55
35,-39.51156,26,0.0,3342,945,20,472,63,73
36,-37.9768,28,0.0,4417,930,16,487,67,99
37,-34.753720000000015,99,0.0,6390,879,29,487,105,123
38,-37.30016,13,0.0,3643,800,24,502,174,77
39,-36.45332,54,0.0,2050,649,19,517,315,34
40,-56.068239999999996,26,0.0,758,608,17,532,343,12
41,-109.75236000000069,7,0.0,291,602,15,547,336,8
42,-51.10932000000002,67,0.0,1778,693,18,547,242,39
43,-38.04776000000002,71,0.0,3519,729,16,562,192,73
44,-37.68564000000001,66,0.0,4180,665,21,562,252,96
45,-36.22275999999998,62,0.0,3712,651,26,562,261,90
46,-41.96804000000001,29,0.0,2563,676,26,562,236,52
47,-39.93408,29,0.0,1730,575,23,577,325,27
48,-74.70559999999998,15,0.0,774,568,22,592,318,9
49,-108.94812000000005,13,0.0,248,540,27,607,326,4
50,-64.56336,25,0.0,1245,609,21,622,248,33
51,-41.90079999999999,30,0.0,3354,681,17,637,163,71
52,-37.30708,72,0.0,3991,664,29,637,170,77
53,-39.64264000000001,108,0.0,4199,676,28,652,144,87
54,-55.66048000000001,24,0.0,2450,620,16,682,182,37
55,-148.34445142857146,41,0.0,1011,610,21,697,172,26
