timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-222.61540000000002,142,0.0,216,51,1,469,979,0
1,-125.29644,289,0.0,630,88,13,454,945,7
2,-43.04308000000004,531,0.0,3810,332,26,454,688,83
3,-35.81487999999999,90,0.0,3040,454,15,469,562,70
4,-37.99264000000001,109,0.0,3521,465,24,469,542,66
5,-27.37872,242,0.0,5787,483,19,484,514,100
6,-28.08656000000001,187,0.0,3193,318,26,484,672,65
7,-80.99436000000001,104,0.0,1071,236,27,484,753,27
8,-88.52283999999953,16,0.0,159,232,26,484,758,4
9,-88.52295999999997,152,0.0,863,255,21,499,725,32
10,-39.30452000000001,247,0.0,4716,596,21,514,369,92
11,-52.582159999999995,22,0.0,3136,708,23,529,240,78
12,-36.31564000000001,21,0.0,3842,810,22,544,124,117
13,-32.579119999999996,108,0.0,6975,644,21,559,276,98
14,-38.90732,135,0.0,3817,433,21,574,472,50
15,-45.148119999999984,184,0.0,1270,398,27,574,501,20
16,-233.33536,19,0.0,161,396,9,589,506,3
17,-59.23796000000004,62,0.0,840,407,17,589,487,23
18,-45.39040000000001,225,0.0,4940,721,19,604,156,69
19,-53.50071999999999,33,0.0,3359,823,27,619,31,63
20,-41.20163999999998,56,0.0,4212,835,15,639,11,78
21,-36.23571999999999,139,0.0,6970,758,28,623,91,115
22,-38.69699999999999,275,0.0,4012,525,15,653,307,29
23,-120.42779999999999,186,0.0,1425,472,27,653,348,24
24,-160.6081200000002,33,0.0,212,476,11,668,345,7
25,-83.02152,105,0.0,754,468,11,668,353,21
26,-53.912919999999986,223,0.0,4553,812,16,670,2,77
27,-54.87583999999997,35,0.0,3158,897,18,570,15,68
28,-51.34488,80,0.0,4139,925,21,541,12,101
29,-36.244559999999986,69,0.0,6610,1058,18,397,27,123
30,-34.18548000000003,98,0.0,3980,856,24,397,223,72
31,-94.75196000000004,116,0.0,1712,744,28,397,331,41
32,-80.88272000000018,6,0.0,338,729,17,412,342,10
33,-46.52088000000004,13,0.0,665,742,18,412,328,10
34,-49.29940000000003,91,0.0,3717,899,15,427,159,58
35,-55.9028,34,0.0,3350,982,20,442,56,77
36,-45.610839999999975,35,0.0,4410,954,17,472,57,100
37,-35.359280000000005,117,0.0,6384,913,15,487,85,115
38,-46.852720000000005,16,0.0,3632,837,21,487,155,84
39,-45.70427999999999,67,0.0,2049,687,17,502,294,43
40,-65.47668000000002,49,0.0,761,647,16,517,320,17
41,-92.39756000000024,13,0.0,291,645,25,517,313,8
42,-67.35340000000002,93,0.0,1798,737,28,517,218,49
43,-30.582439999999995,83,0.0,3504,785,19,532,164,66
44,-22.457360000000005,69,0.0,4103,739,23,532,206,98
45,-29.575999999999983,68,0.0,3790,710,27,532,230,83
46,-44.581800000000015,34,0.0,2557,733,16,547,204,52
47,-72.74232,21,0.0,1723,632,26,547,295,32
48,-93.41328000000001,24,0.0,781,630,21,562,287,12
49,-144.25492000000003,22,0.0,248,606,23,577,294,4
50,-77.01059999999994,38,0.0,1233,671,19,592,218,30
51,-52.26420000000002,43,0.0,3379,754,27,592,127,73
52,-39.68524,122,0.0,3969,737,17,622,124,80
53,-44.292280000000005,119,0.0,4203,748,21,637,94,96
54,-65.29643999999999,33,0.0,2479,690,15,667,128,22
55,-246.96006285714282,91,0.0,988,690,17,682,111,23
