timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-41.42312,162,0.0,219,61,9,454,976,1
1,8.235600000000003,270,0.0,627,120,0,439,941,7
2,-3.42148,531,0.0,3804,375,14,424,687,82
3,-4.928039999999998,90,0.0,2957,507,8,424,561,58
4,-26.861400000000003,114,0.0,3624,521,15,424,539,74
5,-44.31028000000002,235,0.0,5767,534,25,424,517,108
6,-40.14240000000002,155,0.0,3199,364,19,439,678,66
7,-41.30864000000002,73,0.0,1072,271,21,439,769,22
8,-54.046000000000014,10,0.0,158,249,23,454,774,4
9,-29.991319999999995,139,0.0,863,269,17,469,745,33
10,-38.29655999999999,258,0.0,4728,619,28,469,384,93
11,-45.319919999999975,26,0.0,3124,738,25,484,253,78
12,-37.49844,20,0.0,3782,845,23,499,133,102
13,-32.28496000000001,103,0.0,7035,667,29,514,290,98
14,-42.834,96,0.0,3801,448,24,529,499,73
15,-32.38587999999999,123,0.0,1285,402,14,544,540,24
16,-39.37496000000004,7,0.0,164,391,22,544,543,4
17,-22.923280000000002,84,0.0,943,409,18,559,514,68
18,-38.69343999999998,251,0.0,4805,733,28,559,180,69
19,-38.4828,39,0.0,3407,839,25,574,62,68
20,-32.37159999999999,60,0.0,4254,850,27,589,34,102
21,-40.54908,129,0.0,6893,778,25,604,93,135
22,-37.7256,205,0.0,3977,535,22,619,323,77
23,-44.759960000000014,156,0.0,1478,467,21,634,378,21
24,-41.08616,26,0.0,207,457,17,649,377,5
25,-17.83116,141,0.0,787,452,20,649,379,38
26,-38.23828000000001,245,0.0,4516,810,18,664,8,81
27,-43.703119999999984,54,0.0,3190,895,19,564,22,69
28,-27.434959999999997,94,0.0,4078,937,21,530,12,85
29,-31.899959999999997,76,0.0,6677,1061,21,384,34,108
30,-38.87115999999998,73,0.0,3950,858,28,384,230,73
31,-36.49232000000002,110,0.0,1712,739,25,399,337,42
32,-41.85836000000002,3,0.0,341,722,16,414,348,15
33,-35.83208,15,0.0,672,732,20,414,334,16
34,-35.621120000000005,97,0.0,3693,889,21,429,161,55
35,-50.22280000000001,33,0.0,3351,981,20,444,55,72
36,-49.13951999999998,45,0.0,4468,967,18,459,56,112
37,-29.879119999999997,115,0.0,6322,930,27,459,83,127
38,-37.18635999999999,27,0.0,3651,855,22,474,149,77
39,-33.69503999999999,65,0.0,2047,695,26,489,290,42
40,-38.85228,32,0.0,761,660,19,504,317,17
41,-40.18927999999999,16,0.0,297,650,21,519,310,11
42,-36.8594,127,0.0,1792,729,24,534,213,49
43,-40.882559999999984,87,0.0,3526,772,17,549,162,67
44,-26.433359999999993,71,0.0,4101,718,27,549,206,90
45,-35.62124,75,0.0,3764,684,15,579,222,90
46,-36.66776,42,0.0,2563,693,17,594,196,52
47,-42.40372,29,0.0,1723,587,18,609,286,31
48,-61.53423999999998,26,0.0,781,573,25,624,278,9
49,-115.56004000000006,19,0.0,248,539,20,654,287,4
50,-71.55583999999998,75,0.0,1256,599,25,669,207,35
51,-64.64184000000002,129,0.0,3328,692,15,699,94,65
52,-40.24071999999999,122,0.0,3997,678,18,714,90,80
53,-63.44255999999998,123,0.0,4208,688,18,729,65,86
54,-67.59171999999998,51,0.0,2450,641,24,744,91,37
55,-161.50262857142855,46,0.0,1011,636,26,759,79,26
