timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,6.4414800000000065,172,0.0,223,158,13,349,980,3
1,1.0533599999999999,258,0.0,625,283,5,274,938,8
2,-26.570359999999994,476,0.0,3737,541,12,259,688,74
3,-138.51044000000002,91,0.0,2934,602,25,304,569,62
4,-113.48624000000002,128,0.0,3646,559,16,364,561,78
5,-106.85679999999999,370,0.0,5752,537,20,409,534,96
6,-45.89420000000002,348,0.0,3194,421,17,424,638,49
7,-25.74400000000001,208,0.0,1058,366,10,424,700,21
8,-72.19943999999998,44,0.0,155,475,7,319,699,0
9,-128.30160000000006,229,0.0,838,499,22,304,675,21
10,-123.01355999999994,422,0.0,4806,815,28,349,308,90
11,-85.84939999999996,62,0.0,3172,897,26,409,168,68
12,-109.12444,23,0.0,3757,889,16,469,126,81
13,-103.20696,310,0.0,7144,715,20,514,251,101
14,-102.50068000000002,308,0.0,3774,488,28,559,425,57
15,-49.11491999999999,218,0.0,1267,497,19,559,425,16
16,-313.63343999999995,9,0.0,166,498,19,559,424,10
17,-63.17332000000003,139,0.0,841,499,14,589,397,20
18,-102.40911999999996,372,0.0,5147,810,16,649,25,65
19,-117.12659999999997,31,0.0,3297,900,16,579,5,79
20,-102.12084000000003,78,0.0,4183,870,27,587,16,87
21,-63.55643999999998,132,0.0,7088,789,16,610,85,83
22,-98.34152,231,0.0,3768,621,23,655,201,69
23,-227.70884000000004,174,0.0,1509,547,29,685,239,29
24,-321.69248,38,0.0,199,546,23,700,231,7
25,-252.31488,121,0.0,740,531,29,730,210,13
26,-102.09656000000001,220,0.0,4566,798,21,676,5,102
27,-59.707879999999996,37,0.0,3183,895,16,579,10,59
28,-50.61272000000002,60,0.0,4146,963,15,522,0,111
29,-43.18768,96,0.0,6538,1011,27,452,10,123
30,-49.30544000000002,219,0.0,3989,813,18,512,157,65
31,-173.21464,175,0.0,1708,675,28,542,255,41
32,-278.78468,60,0.0,339,654,18,572,256,8
33,-176.98364000000007,76,0.0,679,625,26,602,247,17
34,-57.10819999999999,193,0.0,3851,777,15,662,46,62
35,-61.29336,131,0.0,3269,837,29,634,0,65
36,-26.29780000000001,82,0.0,4333,884,22,589,5,99
37,-30.449400000000008,71,0.0,6296,886,21,568,25,123
38,-42.231479999999976,51,0.0,3670,756,15,628,101,74
39,-87.8274,137,0.0,2037,605,17,673,205,35
40,-222.49239999999998,154,0.0,773,560,16,703,221,7
41,-339.49359999999996,38,0.0,305,549,24,703,224,4
42,-112.19903999999998,203,0.0,1780,605,22,763,110,39
43,-86.17392,228,0.0,3583,571,26,808,95,72
44,-70.84647999999999,115,0.0,4083,519,15,868,98,81
45,-57.73332000000002,165,0.0,3716,504,23,898,75,74
46,-95.70764,152,0.0,2553,534,20,943,3,40
47,-103.93171999999993,163,0.0,1711,472,26,973,29,27
48,-102.84140000000001,80,0.0,750,474,23,988,15,15
49,-188.76196,42,0.0,260,488,2,988,22,5
50,-107.40899999999999,140,0.0,1381,509,16,972,3,59
51,-91.05516000000004,196,0.0,3248,521,19,937,23,69
52,-110.74104000000001,308,0.0,3986,535,24,924,17,72
53,-77.26136000000002,253,0.0,4127,552,27,913,8,72
54,-67.84908000000001,156,0.0,2431,478,16,973,33,42
55,-251.79844571428566,154,0.0,1078,424,27,973,76,17
