timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-131.39408000000003,176,0.0,223,75,5,439,981,0
1,-34.80315999999999,323,0.0,625,129,20,424,927,7
2,-16.601759999999995,525,0.0,3743,386,13,439,662,70
3,-18.928839999999997,50,0.0,2928,487,19,439,555,62
4,1.1538400000000002,82,0.0,3585,482,19,439,560,62
5,-12.589839999999995,289,0.0,5858,466,29,439,566,73
6,-15.364120000000003,299,0.0,3143,347,25,454,674,62
7,-15.033240000000005,188,0.0,1065,271,26,469,734,13
8,-68.83511999999999,59,0.0,154,282,0,484,734,0
9,-23.679120000000008,262,0.0,838,292,17,484,707,22
10,-48.050399999999996,416,0.0,4826,641,28,484,347,88
11,-61.17607999999999,50,0.0,3152,745,18,529,208,69
12,-46.284479999999995,26,0.0,3810,762,17,559,162,106
13,-36.74076,253,0.0,7097,590,18,589,303,98
14,-41.78927999999999,164,0.0,3769,369,21,604,506,54
15,-33.570440000000005,186,0.0,1267,348,24,619,509,17
16,-38.18343999999999,12,0.0,165,327,15,649,509,6
17,-21.648439999999976,97,0.0,829,341,28,649,482,15
18,-37.265080000000005,310,0.0,5085,680,17,679,124,58
19,-64.40328000000001,26,0.0,3328,785,18,694,3,79
20,-76.01643999999999,53,0.0,4265,773,19,689,19,95
21,-28.95231999999999,115,0.0,6910,729,27,667,77,129
22,-47.74112000000001,120,0.0,3909,535,29,697,239,63
23,-43.19896000000001,63,0.0,1507,455,14,727,304,31
24,-23.39452000000001,16,0.0,205,453,19,727,301,11
25,-15.369119999999995,79,0.0,741,459,14,742,285,18
26,-49.21640000000001,173,0.0,4569,744,23,727,6,95
27,-41.373920000000005,44,0.0,3204,861,23,599,17,68
28,-30.72295999999999,60,0.0,4019,957,29,513,0,90
29,-26.24536,74,0.0,6652,1041,25,424,10,119
30,-29.650960000000012,112,0.0,3961,849,24,439,188,71
31,-30.88824000000001,61,0.0,1718,721,23,454,302,43
32,-39.154,18,0.0,339,705,21,469,305,8
33,-30.55087999999998,30,0.0,679,698,15,484,303,21
34,-28.89388000000001,56,0.0,3742,855,25,484,136,59
35,-25.80728,66,0.0,3404,956,16,499,29,63
36,-28.663160000000005,53,0.0,4369,1040,19,429,12,113
37,-24.83872,56,0.0,6271,1073,23,379,25,98
38,-31.308319999999995,20,0.0,3630,982,18,394,106,83
39,-33.25712,28,0.0,2040,848,25,394,233,40
40,-37.62731999999998,45,0.0,773,821,27,394,258,8
41,-54.84632,13,0.0,305,810,18,409,263,5
42,-29.833799999999993,117,0.0,1780,901,25,409,165,39
43,-22.040519999999997,77,0.0,3583,872,28,409,191,76
44,-18.236040000000006,45,0.0,4038,850,17,424,209,78
45,-29.43276000000001,66,0.0,3753,832,21,424,223,84
46,-34.22628000000002,49,0.0,2566,871,26,424,179,42
47,-33.314359999999986,64,0.0,1706,816,17,439,228,28
48,-37.649840000000005,26,0.0,750,818,22,439,221,16
49,-60.24187999999994,22,0.0,256,798,18,454,230,8
50,-22.829199999999993,67,0.0,1289,839,25,454,182,42
51,-20.280519999999992,88,0.0,3359,891,16,469,124,78
52,-17.2748,125,0.0,4009,914,18,469,98,87
53,-32.89624,141,0.0,4080,938,21,469,72,76
54,-35.224880000000006,63,0.0,2440,890,24,469,117,45
55,-148.24911428571428,85,0.0,1080,832,29,469,170,16
