timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-88.90376000000002,174,0.0,223,95,15,409,981,1
1,-23.18487999999999,326,0.0,625,165,16,394,925,7
2,-24.51988,511,0.0,3737,426,20,394,660,74
3,-26.077080000000002,68,0.0,2934,508,17,424,551,61
4,-34.168679999999995,104,0.0,3707,473,16,454,557,86
5,-14.775479999999993,289,0.0,5695,465,19,469,547,86
6,-20.790599999999994,321,0.0,3193,339,19,484,658,41
7,-24.364679999999993,228,0.0,1055,259,20,514,707,19
8,-92.18672000000001,71,0.0,162,277,4,514,705,4
9,-15.860000000000005,248,0.0,831,301,9,514,676,23
10,-43.56163999999999,406,0.0,4806,644,24,514,318,90
11,-60.827480000000016,52,0.0,3181,739,22,559,180,71
12,-51.366760000000006,24,0.0,3777,738,22,604,136,95
13,-46.70644000000001,266,0.0,7088,565,17,649,269,113
14,-28.076879999999996,195,0.0,3799,338,19,679,464,62
15,-29.364320000000014,204,0.0,1274,315,28,694,463,14
16,-95.84812000000002,22,0.0,161,292,22,724,462,5
17,-50.42756000000003,141,0.0,841,285,29,754,431,20
18,-30.975640000000006,338,0.0,5044,632,22,784,62,47
19,-70.92468,27,0.0,3357,718,25,754,3,79
20,-69.72248,73,0.0,4245,692,22,764,21,92
21,-36.80936,140,0.0,6955,653,15,752,80,102
22,-32.79776,118,0.0,3894,473,12,782,233,62
23,-36.90627999999999,67,0.0,1497,418,7,782,293,38
24,-13.717719999999986,27,0.0,203,419,9,782,290,8
25,-12.153760000000004,99,0.0,743,434,19,782,265,18
26,-57.626160000000006,202,0.0,4569,716,25,753,6,96
27,-38.57019999999999,51,0.0,3260,835,16,637,12,70
28,-26.636879999999994,66,0.0,3946,912,19,569,0,81
29,-25.665999999999993,88,0.0,6630,1003,16,477,4,113
30,-30.386200000000006,114,0.0,4000,796,25,492,187,70
31,-29.807999999999996,74,0.0,1719,662,16,522,300,41
32,-50.406280000000024,20,0.0,338,647,28,522,303,8
33,-39.03288000000001,39,0.0,669,624,23,552,301,14
34,-27.80352000000001,88,0.0,3743,783,19,567,131,57
35,-28.85683999999999,71,0.0,3419,885,16,582,17,58
36,-25.763600000000004,65,0.0,4398,964,27,497,12,120
37,-25.195799999999995,58,0.0,6199,991,20,463,26,123
38,-28.96363999999999,24,0.0,3670,903,16,478,103,78
39,-29.417359999999988,39,0.0,2037,763,17,493,227,35
40,-37.409280000000045,52,0.0,774,726,28,493,253,8
41,-45.681720000000055,19,0.0,304,704,16,523,257,5
42,-27.878520000000005,135,0.0,1805,792,23,523,162,48
43,-24.39028,94,0.0,3561,759,21,538,182,72
44,-20.414400000000004,57,0.0,4090,724,15,553,208,82
45,-27.410840000000007,98,0.0,3698,715,16,568,201,86
46,-33.72928,55,0.0,2561,754,25,568,153,41
47,-32.68968000000001,81,0.0,1710,697,23,583,197,29
48,-38.22488,24,0.0,751,694,18,598,190,16
49,-48.85292,26,0.0,256,664,24,613,199,7
50,-24.972080000000012,94,0.0,1267,702,17,628,153,37
51,-30.42936,127,0.0,3393,746,25,643,86,77
52,-23.14800000000001,157,0.0,3959,758,20,658,64,75
53,-30.361800000000002,187,0.0,4118,797,29,658,16,77
54,-36.92328000000001,75,0.0,2450,744,25,673,58,29
55,-160.0115142857143,106,0.0,1072,680,21,688,111,11
