timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-12.900439999999993,178,0.0,224,131,10,379,980,0
1,21.578640000000018,329,0.0,666,220,10,349,921,25
2,-20.123279999999998,491,0.0,3695,497,5,334,664,73
3,-91.53924000000005,77,0.0,2965,553,17,379,551,67
4,-70.50623999999998,122,0.0,3588,502,24,424,550,72
5,-28.790959999999995,340,0.0,5783,503,16,454,527,86
6,-21.568759999999997,334,0.0,3186,377,21,469,633,51
7,-2.606559999999998,220,0.0,1062,318,24,469,689,20
8,-59.191040000000015,68,0.0,162,369,5,439,687,4
9,9.839320000000006,271,0.0,856,413,12,424,651,31
10,-53.68303999999999,417,0.0,4809,753,18,439,290,82
11,-65.41328000000001,51,0.0,3178,837,29,484,150,78
12,-61.35659999999999,31,0.0,3723,824,25,544,107,79
13,-82.06676000000002,282,0.0,7166,651,26,589,233,88
14,-42.72167999999999,224,0.0,3752,418,25,634,423,54
15,-29.372599999999988,226,0.0,1272,396,26,664,414,14
16,-100.99176000000001,29,0.0,161,397,13,679,411,5
17,-22.714280000000002,177,0.0,841,415,29,679,376,18
18,-50.05903999999998,384,0.0,5055,748,25,723,4,51
19,-85.50587999999999,30,0.0,3319,828,18,646,8,72
20,-93.52319999999999,79,0.0,4253,808,22,655,15,87
21,-30.78552000000001,176,0.0,7053,753,16,656,75,70
22,-55.739760000000004,139,0.0,3812,571,21,686,222,61
23,-73.99512,77,0.0,1502,482,8,731,279,27
24,-27.61747999999999,39,0.0,197,489,6,731,274,6
25,-39.298159999999996,134,0.0,773,512,28,716,244,30
26,-68.60604000000004,217,0.0,4533,799,19,677,5,101
27,-40.985079999999996,51,0.0,3164,908,20,562,10,62
28,-28.967560000000006,78,0.0,4133,995,19,481,5,106
29,-21.368599999999997,93,0.0,6580,1072,25,395,8,122
30,-24.521600000000014,125,0.0,3969,863,28,425,184,71
31,-27.932479999999995,83,0.0,1720,724,28,455,293,35
32,-44.85116000000001,23,0.0,337,694,27,485,294,8
33,-45.233520000000034,86,0.0,700,672,29,515,284,28
34,-27.399279999999997,125,0.0,3748,830,29,530,111,48
35,-28.133640000000007,81,0.0,3364,925,27,545,3,59
36,-22.505039999999997,73,0.0,4320,1010,26,459,5,99
37,-22.221239999999987,63,0.0,6312,1024,26,425,25,107
38,-30.071599999999997,19,0.0,3646,926,26,440,107,86
39,-32.91199999999999,42,0.0,2050,784,20,470,226,27
40,-38.60408000000002,52,0.0,768,748,16,485,251,9
41,-50.04800000000003,22,0.0,305,715,15,515,255,5
42,-34.798719999999996,171,0.0,1805,790,27,530,153,48
43,-31.573720000000012,114,0.0,3547,755,24,560,161,71
44,-26.44232,68,0.0,4068,712,16,590,182,72
45,-25.23084,73,0.0,3739,694,17,605,184,83
46,-30.784879999999994,48,0.0,2565,723,19,620,138,44
47,-28.04236000000001,88,0.0,1696,655,25,635,185,30
48,-34.00468000000001,42,0.0,756,646,16,665,173,15
49,-53.31376,33,0.0,250,606,16,695,183,4
50,-29.976839999999985,109,0.0,1282,639,17,710,134,38
51,-37.13980000000001,139,0.0,3357,683,28,725,64,75
52,-25.42920000000001,175,0.0,3976,692,16,755,37,83
53,-31.88772,212,0.0,4119,727,16,748,9,74
54,-35.163360000000004,86,0.0,2453,673,17,763,47,34
55,-172.31574285714288,92,0.0,1074,614,25,763,98,19
