timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-64.09964000000001,166,0.0,223,158,13,349,980,3
1,2.066320000000001,277,0.0,625,254,6,304,936,8
2,-10.076839999999997,491,0.0,3737,527,15,274,684,74
3,-93.76435999999998,52,0.0,2934,598,22,304,576,62
4,-90.2784,100,0.0,3599,561,15,349,575,70
5,-82.12228,328,0.0,5817,536,24,379,561,73
6,-0.21655999999999598,319,0.0,3170,430,0,394,676,61
7,-13.301119999999992,195,0.0,1064,382,3,379,736,20
8,-76.51015999999998,42,0.0,155,450,9,304,737,0
9,-1.014199999999997,242,0.0,906,513,15,274,698,50
10,-78.80759999999997,374,0.0,4751,806,18,319,357,89
11,-71.49328000000003,47,0.0,3149,908,25,349,218,67
12,-102.55648000000002,12,0.0,3767,902,27,394,177,81
13,-109.83976000000003,264,0.0,7109,730,21,439,309,117
14,-73.14887999999998,245,0.0,3809,506,16,484,494,58
15,-39.26212000000001,226,0.0,1272,493,16,499,492,4
16,-110.77488000000001,28,0.0,161,501,13,499,487,9
17,-101.50784000000007,148,0.0,878,510,16,529,445,42
18,-92.38608,313,0.0,5000,825,27,559,89,52
19,-79.77427999999999,25,0.0,3374,909,19,570,2,80
20,-71.06,50,0.0,4235,888,25,564,22,92
21,-48.58364000000001,109,0.0,6965,837,25,558,80,92
22,-62.57272,161,0.0,3881,651,19,603,227,59
23,-137.02815999999999,170,0.0,1502,567,21,648,264,29
24,-286.0983200000001,42,0.0,197,551,28,663,258,7
25,-146.89844000000002,113,0.0,747,533,26,708,233,16
26,-70.15552,200,0.0,4569,800,15,679,6,94
27,-58.50448000000001,33,0.0,3161,908,18,567,7,63
28,-47.310080000000006,50,0.0,4062,980,19,500,0,90
29,-30.74356000000002,67,0.0,6644,1051,24,416,9,122
30,-38.21375999999999,126,0.0,3979,857,25,431,187,65
31,-39.264280000000014,122,0.0,1708,725,19,461,295,41
32,-76.97296,55,0.0,347,700,28,476,296,13
33,-49.53127999999997,61,0.0,661,689,18,506,287,13
34,-35.105480000000014,84,0.0,3765,848,17,521,114,46
35,-34.723079999999996,72,0.0,3365,936,24,536,4,65
36,-32.6994,55,0.0,4333,1014,22,459,5,101
37,-34.319679999999984,60,0.0,6302,1031,19,424,26,109
38,-38.841999999999985,17,0.0,3656,931,22,439,107,86
39,-39.766119999999994,37,0.0,2045,787,27,454,232,35
40,-53.62316000000001,53,0.0,773,751,24,469,256,8
41,-70.51932000000012,16,0.0,305,724,16,499,261,5
42,-49.56683999999998,123,0.0,1814,805,29,499,167,50
43,-34.223320000000015,97,0.0,3549,774,28,514,184,76
44,-35.65308,42,0.0,4047,738,27,529,206,76
45,-24.077559999999995,73,0.0,3744,715,23,544,218,86
46,-22.33228000000001,84,0.0,2570,767,28,544,161,44
47,-35.881040000000006,115,0.0,1696,712,15,574,199,27
48,-57.113080000000004,63,0.0,756,706,22,589,183,13
49,-147.21707999999973,42,0.0,256,680,27,604,189,6
50,-49.688919999999996,86,0.0,1276,713,24,619,144,41
51,-34.95068000000002,115,0.0,3357,771,18,634,77,74
52,-28.249760000000013,181,0.0,3976,782,18,649,51,83
53,-26.20176000000001,212,0.0,4128,830,26,638,6,76
54,-27.725880000000018,79,0.0,2440,778,20,653,49,45
55,-166.09713142857146,107,0.0,1080,718,16,668,98,14
