timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-148.22848,143,0.0,216,98,15,409,978,0
1,-83.85676000000007,304,0.0,673,183,0,379,938,25
2,-21.940920000000006,504,0.0,3812,441,9,364,686,74
3,-40.820239999999984,80,0.0,2900,551,20,364,565,56
4,-47.48584000000001,113,0.0,3630,559,20,379,541,74
5,-38.24811999999999,243,0.0,5767,565,24,394,517,106
6,-41.08896,177,0.0,3199,401,18,409,672,66
7,-114.63744000000003,105,0.0,1071,310,23,409,758,28
8,-126.04527999999982,12,0.0,159,302,25,409,764,4
9,-77.28764,144,0.0,823,315,24,424,737,12
10,-46.477439999999994,279,0.0,4756,655,17,454,374,92
11,-53.427199999999985,23,0.0,3159,770,19,469,242,81
12,-36.93247999999999,21,0.0,3819,875,28,469,128,117
13,-28.007880000000004,109,0.0,6967,712,27,484,277,113
14,-42.778439999999996,120,0.0,3813,489,19,514,478,66
15,-105.10247999999996,175,0.0,1279,454,25,514,507,21
16,-195.42516000000003,18,0.0,164,457,18,514,511,3
17,-64.02363999999994,55,0.0,849,467,18,529,486,27
18,-46.316280000000006,221,0.0,4901,778,22,544,156,69
19,-50.863319999999995,32,0.0,3389,877,28,559,36,63
20,-46.15495999999999,57,0.0,4192,891,18,584,7,78
21,-38.12064,138,0.0,6990,805,20,583,92,115
22,-34.358160000000005,269,0.0,3960,584,16,598,301,71
23,-131.64116,180,0.0,1477,522,15,613,350,25
24,-255.16372000000007,36,0.0,204,513,27,613,347,3
25,-114.53899999999997,123,0.0,762,491,28,628,353,21
26,-58.940360000000005,228,0.0,4553,838,15,645,2,77
27,-50.88151999999999,36,0.0,3158,913,28,544,15,68
28,-45.03200000000002,83,0.0,4139,946,27,514,12,101
29,-32.31852,71,0.0,6620,1071,15,385,29,114
30,-41.474799999999995,107,0.0,3970,872,25,385,218,73
31,-92.82344,118,0.0,1712,759,15,400,326,42
32,-114.37952000000003,8,0.0,338,739,24,400,337,10
33,-47.38064000000006,16,0.0,665,754,24,400,322,10
34,-49.222240000000006,104,0.0,3717,913,21,415,151,58
35,-55.553799999999995,32,0.0,3363,996,25,430,49,82
36,-40.04968,38,0.0,4460,970,16,460,54,114
37,-38.85484,108,0.0,6304,931,26,460,82,127
38,-47.669160000000026,13,0.0,3645,851,21,475,153,86
39,-41.04256000000001,67,0.0,2054,703,16,490,291,38
40,-69.24879999999996,42,0.0,760,663,29,490,318,17
41,-114.40736000000012,15,0.0,291,661,23,505,311,8
42,-73.45472000000001,100,0.0,1763,757,29,505,209,35
43,-27.998639999999998,89,0.0,3524,801,20,520,159,69
44,-27.608320000000006,68,0.0,4118,749,30,520,201,98
45,-25.808719999999997,64,0.0,3790,715,20,535,229,83
46,-43.54675999999999,35,0.0,2557,734,27,535,204,52
47,-65.70028000000002,20,0.0,1723,631,25,550,294,32
48,-80.80491999999995,32,0.0,781,628,21,565,286,12
49,-223.78624000000016,25,0.0,248,605,22,580,293,4
50,-76.8856000000001,40,0.0,1233,672,16,595,217,30
51,-53.39748000000001,53,0.0,3379,750,29,595,126,73
52,-51.81092,142,0.0,3969,730,24,625,121,80
53,-53.74104000000001,125,0.0,4217,737,17,655,91,84
54,-79.76392,45,0.0,2438,674,20,685,121,41
55,-284.6950114285715,103,0.0,1015,674,22,700,104,22
