timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-109.27212000000002,168,0.0,216,35,4,484,977,0
1,-22.592880000000005,329,0.0,679,87,12,469,932,23
2,-7.642880000000001,526,0.0,3792,335,15,469,681,73
3,-20.191880000000005,99,0.0,2903,446,17,484,552,55
4,-25.93716,120,0.0,3627,462,27,484,527,66
5,-26.159319999999997,245,0.0,5776,489,16,499,496,122
6,-38.10787999999999,175,0.0,3201,320,23,499,658,66
7,-39.01928,92,0.0,1075,224,19,514,743,19
8,-60.826879999999896,13,0.0,158,207,16,529,748,4
9,-29.474280000000004,153,0.0,863,222,17,544,717,33
10,-15.456159999999999,277,0.0,4728,587,13,544,356,93
11,-47.941320000000005,29,0.0,3116,698,17,559,226,74
12,-30.83376,18,0.0,3761,806,17,574,103,93
13,-31.259000000000007,111,0.0,7081,636,16,589,259,103
14,-38.80404000000001,105,0.0,3814,416,15,604,465,39
15,-30.808800000000005,126,0.0,1255,368,26,604,502,24
16,-34.96807999999999,8,0.0,164,358,18,619,505,4
17,-18.778,68,0.0,838,370,24,619,487,22
18,-21.13116,276,0.0,4949,697,21,634,148,64
19,-38.82144000000002,36,0.0,3336,806,26,649,19,65
20,-34.35915999999999,61,0.0,4206,811,21,662,6,78
21,-32.0916,134,0.0,6983,720,27,658,95,128
22,-36.21880000000001,217,0.0,3967,479,28,673,319,76
23,-33.41096,165,0.0,1478,421,20,688,371,21
24,-54.81848000000004,32,0.0,207,395,17,718,370,5
25,-30.351800000000004,152,0.0,758,378,16,733,373,21
26,-32.43200000000001,301,0.0,4569,745,18,736,1,74
27,-33.76711999999998,61,0.0,3177,825,20,632,23,67
28,-39.368480000000005,105,0.0,4136,884,16,596,4,108
29,-31.909440000000007,80,0.0,6588,1010,27,434,29,114
30,-31.635479999999994,79,0.0,3958,793,16,464,227,68
31,-41.17444000000001,113,0.0,1726,677,26,464,333,34
32,-38.929359999999996,3,0.0,339,655,22,479,344,14
33,-34.14687999999998,23,0.0,672,656,21,494,329,16
34,-24.58968,123,0.0,3707,824,15,509,152,58
35,-56.41696,41,0.0,3350,903,26,524,47,77
36,-30.945359999999994,56,0.0,4511,896,23,539,41,119
37,-35.18044000000001,126,0.0,6283,847,29,554,70,115
38,-40.919799999999995,26,0.0,3641,766,29,569,136,67
39,-40.901120000000006,65,0.0,2040,603,20,599,278,42
40,-41.84935999999998,44,0.0,761,554,28,614,304,17
41,-48.07900000000006,29,0.0,297,537,23,644,296,9
42,-37.30315999999999,156,0.0,1783,615,29,659,197,43
43,-41.4246,110,0.0,3498,655,23,689,133,69
44,-40.89636000000001,94,0.0,4118,593,15,719,173,97
45,-42.86439999999999,115,0.0,3784,561,15,734,190,90
46,-35.15055999999999,49,0.0,2565,567,23,749,161,49
47,-37.39500000000002,46,0.0,1725,463,25,764,248,31
48,-27.458440000000017,46,0.0,777,469,16,779,236,9
49,-13.550120000000012,21,0.0,248,465,13,779,243,4
50,-40.87032,96,0.0,1240,531,29,779,161,32
51,-49.871840000000006,138,0.0,3359,621,21,809,47,71
52,-42.347840000000005,133,0.0,4007,605,15,839,41,81
53,-51.656920000000014,116,0.0,4178,608,21,851,20,95
54,-67.82991999999994,54,0.0,2461,547,23,881,49,31
55,-157.6205542857143,62,0.0,1006,538,18,911,33,23
