timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-129.63516,161,0.0,223,94,17,409,980,3
1,-123.88851999999994,225,0.0,625,211,14,334,941,8
2,-60.438400000000016,442,0.0,3753,495,9,304,692,68
3,-73.41259999999997,55,0.0,2949,564,25,334,577,71
4,-70.0744,71,0.0,3554,506,17,394,583,61
5,-56.04968000000002,257,0.0,5813,485,17,409,589,98
6,-51.01172,291,0.0,3190,358,13,424,705,51
7,-66.83552,150,0.0,1062,290,8,424,778,20
8,-104.58060000000017,33,0.0,155,286,11,424,779,0
9,-85.96955999999994,163,0.0,849,317,9,409,765,31
10,-87.57884,317,0.0,4823,655,18,409,418,82
11,-96.9202,45,0.0,3144,747,18,454,281,69
12,-95.67511999999998,44,0.0,3757,749,18,499,234,78
13,-101.25367999999997,259,0.0,7109,575,27,529,368,118
14,-44.98272,150,0.0,3809,347,19,559,575,62
15,-44.415359999999986,163,0.0,1267,309,19,589,583,19
16,-95.77707999999998,11,0.0,166,300,17,604,579,10
17,-83.40675999999984,59,0.0,860,307,18,619,556,33
18,-62.47320000000001,264,0.0,5018,641,16,634,209,53
19,-121.16187999999998,23,0.0,3364,730,17,679,74,79
20,-107.30311999999999,111,0.0,4265,730,20,709,41,95
21,-59.989239999999995,219,0.0,6935,697,23,718,62,99
22,-81.86044000000003,172,0.0,3891,521,19,763,197,58
23,-71.38063999999999,67,0.0,1500,449,14,778,259,32
24,-94.6268399999999,16,0.0,199,479,17,748,256,7
25,-89.93412,38,0.0,740,503,2,748,247,16
26,-89.37820000000006,137,0.0,4576,773,20,701,6,97
27,-66.52459999999998,31,0.0,3173,890,23,577,10,59
28,-42.702680000000015,53,0.0,4007,950,22,528,0,80
29,-34.990640000000006,87,0.0,6677,1054,27,410,9,121
30,-45.55035999999999,108,0.0,3979,861,25,425,189,70
31,-47.34312000000003,60,0.0,1718,732,25,440,303,45
32,-84.61675999999983,14,0.0,339,716,23,455,306,8
33,-85.50632000000009,20,0.0,669,708,16,470,306,14
34,-50.671279999999996,30,0.0,3752,863,24,470,143,59
35,-43.38375999999998,45,0.0,3372,963,29,470,38,65
36,-34.88176000000001,51,0.0,4357,1047,19,425,9,101
37,-23.093399999999992,58,0.0,6284,1078,21,374,27,108
38,-49.31648,21,0.0,3656,995,24,374,106,86
39,-51.91756,30,0.0,2045,869,27,374,230,36
40,-68.54320000000007,30,0.0,773,838,16,389,257,8
41,-109.0548399999998,10,0.0,305,830,19,389,262,5
42,-62.364760000000004,96,0.0,1780,926,21,389,164,39
43,-49.971680000000006,76,0.0,3593,904,22,389,185,75
44,-25.565199999999997,61,0.0,4037,878,28,389,205,74
45,-31.3648,116,0.0,3749,879,29,389,203,83
46,-51.797679999999986,45,0.0,2556,918,17,404,161,41
47,-53.01892000000001,52,0.0,1710,866,18,404,212,28
48,-64.23476000000008,21,0.0,751,871,20,404,205,16
49,-109.78656000000025,22,0.0,250,851,29,404,216,5
50,-74.24951999999999,43,0.0,1282,892,18,419,171,43
51,-52.84476,87,0.0,3398,945,24,419,112,87
52,-45.22004000000002,122,0.0,3945,962,26,419,93,75
53,-35.19771999999998,142,0.0,4109,993,15,434,58,76
54,-39.640359999999994,63,0.0,2445,951,19,434,96,47
55,-160.88934857142857,67,0.0,1084,898,19,434,149,20
