timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-126.27828000000011,164,0.0,223,104,7,409,980,3
1,-116.64244000000015,236,0.0,644,215,11,334,940,22
2,-67.35799999999999,446,0.0,3718,511,5,289,695,75
3,-73.51995999999998,66,0.0,2946,563,24,334,579,68
4,-89.95560000000003,84,0.0,3573,515,29,379,577,61
5,-54.45892000000002,281,0.0,5813,469,30,424,577,97
6,-46.85287999999999,307,0.0,3188,320,17,469,694,60
7,-44.96311999999998,176,0.0,1065,201,25,514,760,15
8,-99.22004000000008,34,0.0,154,189,21,529,761,0
9,-86.39500000000004,170,0.0,849,233,8,514,745,31
10,-78.74043999999999,339,0.0,4823,586,18,499,397,82
11,-109.89276000000002,55,0.0,3169,660,22,559,259,77
12,-118.69920000000005,88,0.0,3732,666,28,604,202,77
13,-108.48443999999998,332,0.0,7144,493,28,664,315,101
14,-29.00764,175,0.0,3775,272,19,694,515,55
15,-40.71276000000001,201,0.0,1266,234,28,724,514,18
16,-93.26888000000004,16,0.0,166,227,23,739,511,9
17,-73.70927999999998,91,0.0,829,233,24,754,489,13
18,-51.92340000000001,336,0.0,5049,578,18,784,120,53
19,-123.59727999999998,32,0.0,3349,650,21,824,5,73
20,-118.83143999999997,153,0.0,4241,633,19,838,10,84
21,-79.20708,279,0.0,6996,601,15,826,58,81
22,-59.31352000000003,177,0.0,3860,434,20,856,190,70
23,-74.76003999999995,67,0.0,1509,415,5,826,254,38
24,-81.5016,17,0.0,199,419,19,811,251,7
25,-79.98284000000005,54,0.0,747,421,29,811,239,17
26,-88.36323999999999,150,0.0,4559,698,16,781,5,103
27,-57.00555999999999,42,0.0,3164,784,21,685,10,62
28,-40.61127999999998,70,0.0,4035,834,24,642,0,78
29,-43.91095999999998,134,0.0,6678,913,18,561,8,120
30,-47.11447999999999,144,0.0,3984,706,25,591,178,65
31,-55.57919999999999,82,0.0,1704,560,16,636,288,40
32,-134.95000000000005,31,0.0,346,522,23,666,289,12
33,-168.49255999999997,62,0.0,661,498,21,696,285,14
34,-54.72355999999999,91,0.0,3752,647,20,726,107,59
35,-40.014880000000005,87,0.0,3404,718,27,752,3,62
36,-45.426119999999976,147,0.0,4325,798,18,675,9,97
37,-36.830040000000004,176,0.0,6294,829,28,618,25,106
38,-47.518119999999996,46,0.0,3658,727,15,663,95,68
39,-58.098,93,0.0,2036,582,22,693,203,28
40,-81.36135999999996,83,0.0,770,525,18,738,219,8
41,-234.84979999999987,33,0.0,305,495,17,768,220,5
42,-66.68235999999997,198,0.0,1780,569,25,798,108,36
43,-52.800920000000005,186,0.0,3583,537,28,828,107,76
44,-38.99244000000001,166,0.0,4067,521,15,873,91,71
45,-67.05252,224,0.0,3743,504,28,903,65,65
46,-47.029280000000014,95,0.0,2547,528,28,933,11,42
47,-68.09664000000001,133,0.0,1703,456,25,978,41,29
48,-107.63884,66,0.0,753,429,24,1023,24,15
49,-217.21251999999998,33,0.0,250,401,27,1038,34,4
50,-92.60528000000005,131,0.0,1282,417,19,1054,10,38
51,-53.99875999999998,215,0.0,3398,476,15,982,27,82
52,-52.72815999999999,259,0.0,3935,491,18,977,14,79
53,-41.49396,316,0.0,4119,538,18,935,9,73
54,-66.92343999999994,161,0.0,2449,478,27,965,30,45
55,-217.2927942857143,134,0.0,1080,404,27,995,74,12
