timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,60.29772000000001,152,0.0,216,173,14,334,979,0
1,90.47283999999998,321,0.0,659,316,1,244,939,19
2,-35.40943999999998,560,0.0,3812,575,16,229,680,73
3,-23.269559999999988,125,0.0,2903,667,15,274,543,55
4,-41.11636000000001,144,0.0,3691,655,25,304,516,81
5,-30.37372000000001,297,0.0,5712,667,28,334,471,122
6,-28.033359999999988,198,0.0,3196,492,20,364,624,74
7,-28.66455999999999,106,0.0,1080,384,29,379,708,14
8,-118.75392000000001,32,0.0,158,349,15,424,712,2
9,-45.31184000000004,219,0.0,852,359,27,439,675,22
10,-70.82368000000001,329,0.0,4727,702,22,484,292,89
11,-37.453640000000014,33,0.0,3136,795,16,529,160,78
12,-33.660880000000006,35,0.0,3892,880,16,559,45,122
13,-27.37716000000002,129,0.0,7015,704,19,589,188,65
14,-28.997079999999986,120,0.0,3711,487,26,604,383,72
15,-27.310319999999997,167,0.0,1286,422,28,634,416,22
16,-93.64356000000006,19,0.0,161,384,17,679,420,2
17,-58.32072,148,0.0,849,379,25,709,387,25
18,-40.900279999999995,310,0.0,4950,688,17,754,40,68
19,-32.911280000000005,46,0.0,3340,777,24,685,14,64
20,-40.355920000000005,88,0.0,4272,788,17,685,10,103
21,-36.50960000000001,161,0.0,6903,714,22,678,86,128
22,-34.43771999999999,281,0.0,3976,475,24,708,293,66
23,-36.30555999999999,197,0.0,1471,389,15,753,343,17
24,-54.031080000000024,37,0.0,201,361,16,783,340,3
25,-51.46040000000001,205,0.0,776,341,30,798,331,26
26,-63.161120000000004,300,0.0,4545,703,21,776,0,72
27,-49.13308000000002,49,0.0,3162,771,23,688,18,66
28,-25.204079999999998,103,0.0,4104,792,27,671,10,86
29,-21.505160000000007,94,0.0,6623,913,15,550,22,129
30,-35.708800000000004,92,0.0,3980,697,29,550,224,68
31,-35.12472000000002,118,0.0,1725,581,24,565,330,38
32,-40.69544000000001,14,0.0,344,563,17,580,340,13
33,-50.02803999999999,24,0.0,682,564,16,595,325,28
34,-28.597359999999995,119,0.0,3679,709,27,610,154,55
35,-25.46036000000001,46,0.0,3342,783,18,655,44,72
36,-34.73,73,0.0,4477,759,18,685,38,112
37,-35.480000000000004,177,0.0,6350,718,23,709,50,114
38,-26.730640000000008,37,0.0,3626,630,15,739,116,73
39,-33.96732,89,0.0,2044,466,26,754,254,43
40,-35.629279999999994,56,0.0,762,416,21,784,279,10
41,-62.483040000000045,28,0.0,296,395,23,814,268,12
42,-35.343280000000014,224,0.0,1757,481,21,844,154,35
43,-33.727759999999996,143,0.0,3524,523,22,859,96,69
44,-28.14867999999999,120,0.0,4150,460,15,889,136,92
45,-23.439600000000006,163,0.0,3783,425,22,919,134,72
46,-29.556439999999995,80,0.0,2539,442,16,949,93,44
47,-33.567040000000006,62,0.0,1720,345,18,964,173,31
48,-32.13191999999998,36,0.0,778,322,21,994,163,8
49,-50.98792,22,0.0,253,255,19,1054,172,6
50,-46.68451999999999,129,0.0,1227,301,16,1099,84,28
51,-21.73623999999998,192,0.0,3419,438,10,1048,4,75
52,-22.259720000000016,154,0.0,3929,410,17,1042,31,79
53,-36.939719999999994,169,0.0,4203,455,13,1012,20,95
54,-40.90872000000002,44,0.0,2461,433,18,997,52,31
55,-165.68708,81,0.0,1006,435,19,1012,34,17
