timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-185.78544000000005,182,0.0,227,39,13,469,979,3
1,-110.19676000000007,322,0.0,679,91,16,469,924,29
2,-79.76960000000001,470,0.0,3690,341,15,469,675,70
3,-64.19052,48,0.0,2996,458,9,469,564,78
4,-89.86020000000002,56,0.0,3512,444,11,469,576,61
5,-104.0018,233,0.0,5831,430,13,469,588,74
6,-100.25043999999997,283,0.0,3170,316,6,469,709,62
7,-95.67036000000002,161,0.0,1065,246,7,469,778,20
8,-83.85575999999996,37,0.0,154,249,4,469,778,0
9,-94.08360000000002,222,0.0,916,300,5,454,740,57
10,-138.05244,364,0.0,4728,632,14,454,400,89
11,-128.17799999999997,58,0.0,3162,743,28,469,260,67
12,-133.94683999999995,15,0.0,3820,767,19,499,215,107
13,-129.75348000000005,218,0.0,7081,587,15,529,369,112
14,-106.78476000000002,113,0.0,3785,351,24,544,581,58
15,-87.39452,156,0.0,1271,342,8,559,591,9
16,-92.05063999999997,3,0.0,165,344,5,559,591,12
17,-83.95852000000004,95,0.0,926,380,3,559,558,60
18,-126.58644000000001,321,0.0,4984,724,16,559,201,57
19,-137.49167999999995,27,0.0,3313,837,23,574,66,74
20,-117.42099999999998,53,0.0,4301,831,19,604,46,102
21,-112.24627999999998,88,0.0,6889,780,29,608,83,130
22,-156.94636,96,0.0,3907,591,25,638,246,71
23,-164.47935999999996,57,0.0,1509,506,26,653,315,38
24,-105.29464000000003,15,0.0,199,502,18,668,312,7
25,-139.37048000000001,65,0.0,740,498,18,683,301,15
26,-164.68555999999998,173,0.0,4566,778,18,699,5,101
27,-147.69924,43,0.0,3164,903,15,572,10,62
28,-106.12388000000003,63,0.0,4035,971,15,514,0,78
29,-120.12679999999997,61,0.0,6668,1049,22,419,10,123
30,-122.58539999999996,98,0.0,3979,847,27,434,192,70
31,-112.07715999999996,65,0.0,1719,713,30,449,308,42
32,-130.79052000000007,21,0.0,342,676,19,494,311,10
33,-130.6782,35,0.0,686,652,21,524,303,28
34,-139.64804,110,0.0,3722,798,18,554,130,58
35,-173.30264000000005,75,0.0,3381,885,18,584,13,65
36,-133.6442,62,0.0,4339,950,20,525,5,102
37,-104.45980000000004,62,0.0,6287,943,24,505,27,126
38,-126.05616,27,0.0,3671,843,18,535,103,86
39,-175.53848000000002,81,0.0,2045,698,18,565,219,38
40,-169.19279999999998,75,0.0,773,650,15,595,240,9
41,-190.8301999999999,64,0.0,305,611,24,625,240,4
42,-170.33107999999996,194,0.0,1805,678,16,670,136,48
43,-128.72592,113,0.0,3637,649,15,700,136,68
44,-134.15456,78,0.0,3959,588,21,730,161,78
45,-148.32823999999997,107,0.0,3761,574,24,745,157,75
46,-143.29479999999998,68,0.0,2551,605,25,760,110,48
47,-154.67412,89,0.0,1706,525,26,790,159,34
48,-142.33928,47,0.0,757,498,19,835,148,16
49,-120.22220000000003,37,0.0,254,483,12,850,155,6
50,-182.13771999999994,148,0.0,1278,515,17,865,103,34
51,-181.72276000000002,156,0.0,3384,558,19,895,28,77
52,-151.35504000000003,169,0.0,3949,566,27,892,15,83
53,-138.17484000000002,184,0.0,4115,574,30,885,11,74
54,-175.40436000000008,108,0.0,2449,513,27,915,45,46
55,-233.64484000000004,118,0.0,1082,455,25,930,90,16
