timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,53.018439999999984,176,0.0,222,149,11,364,976,1
1,39.954440000000005,309,0.0,624,242,2,319,937,7
2,14.252960000000014,552,0.0,3810,520,17,289,674,81
3,-53.3118,112,0.0,2964,606,16,334,544,62
4,-44.44107999999998,149,0.0,3597,595,28,364,513,65
5,-23.077399999999997,270,0.0,5776,598,29,394,479,122
6,-31.834279999999993,194,0.0,3206,413,15,439,633,54
7,-37.545080000000006,96,0.0,1070,310,18,454,718,19
8,-71.19160000000008,26,0.0,158,274,19,484,723,3
9,-42.34112,228,0.0,823,288,18,514,680,12
10,-68.14596,384,0.0,4756,655,24,529,292,92
11,-43.41192,36,0.0,3159,763,21,559,157,81
12,-31.484200000000005,23,0.0,3802,858,28,574,40,120
13,-22.084360000000014,120,0.0,7019,678,26,604,192,94
14,-29.79376,115,0.0,3774,455,20,634,391,72
15,-29.011400000000013,141,0.0,1291,377,15,679,429,3
16,-50.373480000000036,15,0.0,156,328,15,724,433,3
17,-29.817959999999992,185,0.0,885,348,27,739,386,49
18,-41.712839999999986,387,0.0,4904,701,17,754,28,64
19,-30.960119999999996,51,0.0,3336,795,26,668,11,65
20,-41.58288000000002,70,0.0,4206,801,21,673,5,78
21,-37.779279999999986,155,0.0,6973,715,15,684,86,135
22,-32.58552,258,0.0,3977,481,17,699,302,71
23,-35.12303999999998,195,0.0,1477,410,24,714,352,23
24,-62.400799999999954,41,0.0,208,380,26,744,350,5
25,-37.11183999999996,204,0.0,748,364,22,774,340,14
26,-49.83352,381,0.0,4547,746,26,728,0,84
27,-53.69727999999999,82,0.0,3174,822,15,649,14,68
28,-31.95916000000001,128,0.0,4156,860,26,606,8,107
29,-28.149200000000004,101,0.0,6633,989,28,453,30,107
30,-27.57068000000001,94,0.0,3945,774,20,483,223,66
31,-35.34848,111,0.0,1707,649,22,498,331,41
32,-40.69020000000002,9,0.0,338,627,18,513,342,10
33,-31.974039999999977,34,0.0,689,635,28,513,324,27
34,-44.67939999999999,155,0.0,3693,797,19,543,141,58
35,-88.11632000000002,68,0.0,3328,864,20,588,28,72
36,-93.96607999999999,90,0.0,4432,836,25,618,21,98
37,-37.812160000000006,152,0.0,6360,788,22,627,63,130
38,-36.57552,35,0.0,3656,689,26,657,128,84
39,-40.983920000000026,88,0.0,2053,521,28,687,264,31
40,-41.19416,75,0.0,757,464,15,732,289,13
41,-69.47520000000002,55,0.0,297,439,20,762,279,9
42,-50.707280000000004,255,0.0,1757,520,18,807,155,33
43,-66.7526,182,0.0,3549,548,28,837,87,67
44,-28.489639999999998,157,0.0,4113,503,10,882,105,85
45,-21.069639999999996,146,0.0,3764,486,26,882,106,89
46,-37.95208000000003,57,0.0,2565,489,24,912,75,48
47,-23.62260000000001,66,0.0,1728,386,15,942,157,27
48,-27.411399999999997,59,0.0,774,433,12,912,143,9
49,44.25400000000001,23,0.0,254,475,5,867,153,7
50,-44.40468000000001,139,0.0,1234,521,16,897,66,31
51,-110.02759999999998,197,0.0,3383,605,27,865,3,74
52,-51.20355999999997,177,0.0,4011,583,16,872,29,78
53,-72.36396000000003,172,0.0,4150,597,28,855,20,95
54,-117.25176000000002,85,0.0,2455,523,19,915,43,37
55,-187.89157142857138,90,0.0,1014,497,19,960,24,16
