timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-87.76032,167,0.0,216,43,14,469,974,0
1,-24.537560000000003,326,0.0,638,82,14,469,935,11
2,-12.55408,562,0.0,3796,342,23,469,666,81
3,-18.573679999999992,94,0.0,2979,454,20,484,542,65
4,-23.323760000000007,115,0.0,3588,472,24,484,520,65
5,-20.919720000000005,246,0.0,5812,481,18,499,502,94
6,-35.312360000000005,164,0.0,3168,318,28,499,655,64
7,-38.23635999999999,82,0.0,1072,220,22,514,744,23
8,-55.77472,16,0.0,158,193,29,529,749,4
9,-29.350079999999988,166,0.0,852,208,27,544,721,26
10,-24.98488000000001,317,0.0,4727,562,18,574,346,92
11,-38.88459999999999,32,0.0,3128,666,28,589,217,74
12,-38.201960000000014,19,0.0,3761,780,22,604,94,93
13,-27.254640000000006,122,0.0,7114,610,26,619,245,76
14,-28.772200000000012,117,0.0,3753,391,14,649,446,68
15,-36.17424000000002,135,0.0,1283,347,20,649,484,24
16,-34.82111999999998,8,0.0,168,338,27,649,486,6
17,-20.677279999999996,85,0.0,862,359,20,664,457,40
18,-25.149039999999992,279,0.0,4890,680,15,679,126,66
19,-38.08183999999999,39,0.0,3418,796,26,665,13,67
20,-38.72851999999999,58,0.0,4155,803,21,670,6,78
21,-36.732040000000005,133,0.0,6983,716,22,668,94,128
22,-37.14200000000001,220,0.0,3967,475,23,683,318,73
23,-35.65051999999999,169,0.0,1477,417,29,683,371,25
24,-46.755319999999976,31,0.0,208,400,18,713,369,5
25,-32.76191999999999,149,0.0,758,378,25,728,369,21
26,-38.53839999999999,286,0.0,4545,738,28,734,0,80
27,-36.383480000000006,64,0.0,3166,827,30,628,15,68
28,-32.44888,108,0.0,4114,867,15,608,10,86
29,-33.485960000000006,81,0.0,6792,993,15,463,29,70
30,-31.991039999999998,72,0.0,3811,783,26,463,228,68
31,-36.558159999999994,111,0.0,1724,668,19,478,335,42
32,-42.66192,3,0.0,338,646,29,478,347,11
33,-34.81715999999998,17,0.0,689,658,19,493,330,28
34,-24.80628,112,0.0,3693,823,15,508,154,58
35,-41.00524000000001,38,0.0,3328,906,27,523,44,73
36,-37.72876000000001,66,0.0,4784,907,15,553,24,127
37,-26.638719999999996,121,0.0,6077,855,29,552,64,98
38,-35.71967999999999,23,0.0,3583,768,29,567,136,86
39,-36.05744000000001,68,0.0,2054,616,27,582,275,37
40,-43.082800000000006,38,0.0,760,574,27,597,302,14
41,-40.657160000000005,21,0.0,291,561,17,627,295,7
42,-33.5752,135,0.0,1763,652,17,642,189,35
43,-36.01072000000001,101,0.0,3621,665,15,672,148,74
44,-37.572799999999994,89,0.0,4021,619,20,687,174,98
45,-38.57607999999998,105,0.0,3784,579,30,702,189,90
46,-37.13251999999999,45,0.0,2565,591,16,732,161,49
47,-38.23140000000001,40,0.0,1728,484,20,747,249,27
48,-32.304120000000005,40,0.0,776,492,25,747,236,8
49,-33.12876000000002,20,0.0,255,476,16,762,246,9
50,-40.10244000000001,77,0.0,1224,540,19,777,164,30
51,-44.803639999999994,123,0.0,3366,624,26,792,56,71
52,-38.765599999999985,136,0.0,4035,616,27,807,50,78
53,-45.20856,118,0.0,4164,624,17,837,22,86
54,-59.09228000000002,61,0.0,2447,571,27,852,50,30
55,-150.36095428571429,55,0.0,1007,560,23,882,35,17
